行政區別,村里別,投開票所別,號次1,號次2,號次3,號次4,號次5,號次6,有效票數A（A＝1＋2＋…＋N）,無效票數B,投票數C（C＝A＋B）,已領未投票數D（D＝E－C）,發出票數E（E＝C＋D）,用餘票數F,選舉人數(原領票數)G（G＝E＋F）,投票率H（H＝C÷G）
佳里區,海澄里,0055,4,290,0,275,121,2,692,7,699,0,699,763,1462,47.81%
佳里區,海澄里,0056,1,150,0,111,29,0,291,1,292,0,292,387,679,43.00%
佳里區,下營里,0057,2,217,2,159,21,6,407,1,408,0,408,486,894,45.64%
佳里區,下營里,0058,0,202,0,196,20,0,418,4,422,0,422,478,900,46.89%
佳里區,塭內里,0059,3,275,1,171,28,0,478,3,481,0,481,526,1007,47.77%
佳里區,塭內里,0060,0,266,2,164,27,1,460,3,463,0,463,486,949,48.79%
佳里區,塭內里,0061,0,166,2,124,39,1,332,0,332,0,332,441,773,42.95%
佳里區,民安里,0062,3,381,3,225,37,0,649,3,652,0,652,829,1481,44.02%
佳里區,子龍里,0063,1,199,0,82,29,0,311,0,311,0,311,373,684,45.47%
佳里區,子龍里,0064,3,175,2,118,33,0,331,2,333,0,333,396,729,45.68%
佳里區,子龍里,0065,3,247,0,115,24,1,390,2,392,0,392,525,917,42.75%
麻豆區,新興里,0066,1,264,1,175,119,3,563,2,565,0,565,592,1157,48.83%
麻豆區,新興里,0067,1,187,2,111,57,1,359,1,360,0,360,287,647,55.64%
麻豆區,巷口里,0068,1,236,3,102,69,0,411,1,412,0,412,329,741,55.60%
麻豆區,巷口里,0069,1,320,6,242,76,4,649,3,652,0,652,657,1309,49.81%
麻豆區,東角里,0070,5,267,0,232,73,0,577,3,580,0,580,624,1204,48.17%
麻豆區,東角里,0071,2,278,1,247,91,1,620,3,623,0,623,639,1262,49.37%
麻豆區,?江里,0072,3,333,2,206,65,2,611,4,615,0,615,718,1333,46.14%
麻豆區,?江里,0073,1,310,1,183,63,0,558,3,561,0,561,517,1078,52.04%
麻豆區,中興里,0074,4,213,1,193,75,0,486,0,486,0,486,494,980,49.59%
麻豆區,中興里,0075,4,212,1,164,61,0,442,3,445,0,445,492,937,47.49%
麻豆區,興農里,0076,3,374,3,217,118,1,716,5,721,0,721,731,1452,49.66%
麻豆區,油車里,0077,2,425,4,255,204,0,890,3,893,0,893,780,1673,53.38%
麻豆區,油車里,0078,5,390,2,232,246,1,876,4,880,0,880,841,1721,51.13%
麻豆區,北勢里,0079,3,312,0,99,87,0,501,2,503,0,503,577,1080,46.57%
麻豆區,大埕里,0080,3,353,1,298,113,4,772,3,775,0,775,688,1463,52.97%
麻豆區,大埕里,0081,4,266,1,182,111,1,565,6,571,0,571,670,1241,46.01%
麻豆區,清水里,0082,0,137,1,119,60,1,318,0,318,0,318,303,621,51.21%
麻豆區,清水里,0083,0,203,1,96,108,0,408,2,410,0,410,341,751,54.59%
麻豆區,南勢里,0084,0,243,1,333,132,1,710,4,714,0,714,705,1419,50.32%
麻豆區,南勢里,0085,1,219,1,151,53,0,425,2,427,0,427,397,824,51.82%
麻豆區,寮?里,0086,9,348,3,174,208,0,742,5,747,0,747,839,1586,47.10%
麻豆區,埤頭里,0087,2,304,2,137,114,0,559,4,563,0,563,728,1291,43.61%
麻豆區,埤頭里,0088,2,258,1,105,83,3,452,1,453,0,453,498,951,47.63%
麻豆區,海埔里,0089,8,227,2,141,80,1,459,3,462,0,462,519,981,47.09%
麻豆區,海埔里,0090,1,142,0,64,89,0,296,3,299,0,299,309,608,49.18%
麻豆區,海埔里,0091,3,124,0,49,62,0,238,1,239,0,239,222,461,51.84%
麻豆區,港尾里,0092,1,289,4,162,150,1,607,1,608,0,608,597,1205,50.46%
麻豆區,麻口里,0093,1,267,0,136,120,1,525,2,527,0,527,533,1060,49.72%
麻豆區,安業里,0094,1,169,0,68,38,2,278,1,279,0,279,257,536,52.05%
麻豆區,安業里,0095,3,211,0,90,98,1,403,2,405,0,405,366,771,52.53%
麻豆區,謝厝寮里,0096,3,223,1,110,117,1,455,2,457,0,457,365,822,55.60%
麻豆區,謝厝寮里,0097,1,193,1,105,123,3,426,5,431,0,431,368,799,53.94%
麻豆區,安正里,0098,7,213,1,130,62,2,415,0,415,0,415,501,916,45.31%
麻豆區,井東里,0099,3,299,2,148,126,1,579,1,580,0,580,539,1119,51.83%
麻豆區,井東里,0100,2,111,2,109,76,0,300,5,305,0,305,294,599,50.92%
善化區,東關里,0101,3,219,0,243,26,1,492,0,492,0,492,605,1097,44.85%
善化區,坐駕里,0102,2,350,1,468,34,1,856,4,860,0,860,911,1771,48.56%
善化區,坐駕里,0103,1,382,3,372,29,1,788,6,794,0,794,1174,1968,40.35%
善化區,光文里,0104,5,278,4,349,31,0,667,4,671,0,671,857,1528,43.91%
善化區,光文里,0105,4,388,4,401,19,2,818,4,822,0,822,996,1818,45.21%
善化區,光文里,0106,3,351,0,417,18,3,792,2,794,0,794,951,1745,45.50%
善化區,文昌里,0107,3,293,0,304,23,0,623,2,625,0,625,835,1460,42.81%
善化區,文昌里,0108,3,241,3,223,18,0,488,0,488,0,488,635,1123,43.46%
善化區,南關里,0109,8,422,0,279,55,0,764,4,768,0,768,953,1721,44.63%
善化區,頂街里,0110,0,228,2,247,26,0,503,2,505,0,505,608,1113,45.37%
善化區,文正里,0111,4,341,1,290,30,0,666,4,670,0,670,856,1526,43.91%
善化區,胡家里,0112,5,392,0,144,35,3,579,4,583,0,583,618,1201,48.54%
善化區,胡厝里,0113,7,385,3,251,100,0,746,2,748,0,748,980,1728,43.29%
善化區,什乃里,0114,3,279,1,204,23,1,511,3,514,0,514,682,1196,42.98%
善化區,溪美里,0115,1,200,0,219,19,1,440,5,445,0,445,491,936,47.54%
善化區,溪美里,0116,0,205,0,192,16,1,414,0,414,0,414,497,911,45.44%
善化區,六分里,0117,1,199,2,110,18,3,333,0,333,0,333,362,695,47.91%
善化區,六德里,0118,4,233,3,156,34,0,430,3,433,0,433,601,1034,41.88%
善化區,田寮里,0119,3,462,2,270,39,1,777,5,782,0,782,884,1666,46.94%
善化區,昌隆里,0120,3,273,0,182,36,1,495,6,501,1,502,568,1070,46.82%
善化區,昌隆里,0121,1,200,1,151,21,1,375,3,378,0,378,475,853,44.31%
善化區,牛庄里,0122,0,381,2,254,44,1,682,2,684,0,684,849,1533,44.62%
善化區,嘉北里,0123,4,285,1,250,135,0,675,8,683,0,683,801,1484,46.02%
善化區,嘉南里,0124,2,244,0,161,48,2,457,4,461,0,461,609,1070,43.08%
善化區,小新里,0125,0,261,2,258,71,2,594,3,597,0,597,761,1358,43.96%
善化區,小新里,0126,1,248,2,262,31,0,544,3,547,0,547,738,1285,42.57%
善化區,小新里,0127,2,201,2,254,28,0,487,0,487,0,487,965,1452,33.54%
善化區,蓮潭里,0128,0,175,2,164,9,1,351,0,351,0,351,859,1210,29.01%
善化區,蓮潭里,0129,0,163,0,147,6,0,316,1,317,0,317,744,1061,29.88%
大內區,石湖里,0130,2,193,3,85,29,3,315,3,318,0,318,418,736,43.21%
大內區,石湖里,0131,0,30,0,82,8,0,120,1,121,0,121,136,257,47.08%
大內區,石林里,0132,0,177,0,74,19,0,270,3,273,0,273,351,624,43.75%
大內區,石城里,0133,5,304,2,207,50,0,568,6,574,0,574,850,1424,40.31%
大內區,內江里,0134,4,155,0,195,41,0,395,1,396,0,396,493,889,44.54%
大內區,大內里,0135,0,170,1,183,33,0,387,0,387,0,387,374,761,50.85%
大內區,內郭里,0136,0,133,1,100,24,0,258,3,261,0,261,356,617,42.30%
大內區,頭社里,0137,1,178,1,151,45,0,376,4,380,0,380,592,972,39.09%
大內區,環湖里,0138,0,102,0,163,60,0,325,2,327,0,327,408,735,44.49%
大內區,二溪里,0139,3,143,3,144,105,0,398,1,399,0,399,425,824,48.42%
大內區,曲溪里,0140,2,135,0,82,43,0,262,4,266,0,266,292,558,47.67%
玉井區,玉井里,0141,0,150,2,348,27,1,528,2,530,0,530,689,1219,43.48%
玉井區,玉田里,0142,0,111,2,320,14,0,447,2,449,0,449,649,1098,40.89%
玉井區,玉田里,0143,2,127,1,173,6,0,309,1,310,0,310,368,678,45.72%
玉井區,玉田里,0144,0,126,0,212,6,0,344,4,348,0,348,468,816,42.65%
玉井區,玉田里,0145,1,101,0,285,21,1,409,4,413,0,413,508,921,44.84%
玉井區,中正里,0146,1,99,0,173,14,0,287,1,288,0,288,309,597,48.24%
玉井區,中正里,0147,1,143,0,140,9,0,293,2,295,0,295,285,580,50.86%
玉井區,竹圍里,0148,2,135,0,214,9,2,362,2,364,0,364,520,884,41.18%
玉井區,竹圍里,0149,0,67,0,123,7,0,197,2,199,0,199,300,499,39.88%
玉井區,沙田里,0150,0,52,0,150,4,1,207,1,208,0,208,287,495,42.02%
玉井區,三埔里,0151,0,57,1,154,3,0,215,0,215,0,215,279,494,43.52%
玉井區,三和里,0152,1,131,2,197,8,0,339,1,340,0,340,397,737,46.13%
玉井區,望明里,0153,1,94,1,180,23,1,300,0,300,0,300,334,634,47.32%
玉井區,望明里,0154,2,105,0,171,10,0,288,2,290,0,290,480,770,37.66%
玉井區,層林里,0155,2,113,1,164,9,1,290,0,290,0,290,321,611,47.46%
玉井區,豐里里,0156,0,119,1,244,42,1,407,3,410,0,410,533,943,43.48%
楠西區,楠西里,0157,3,117,0,299,11,0,430,1,431,0,431,516,947,45.51%
楠西區,楠西里,0158,1,91,1,236,7,0,336,4,340,0,340,497,837,40.62%
楠西區,灣丘里,0159,1,128,2,307,6,1,445,2,447,0,447,673,1120,39.91%
楠西區,密枝里,0160,1,67,0,220,3,0,291,0,291,0,291,393,684,42.54%
楠西區,照興里,0161,1,127,0,271,11,0,410,1,411,0,411,549,960,42.81%
楠西區,鹿田里,0162,0,95,1,310,9,2,417,1,418,0,418,474,892,46.86%
楠西區,龜丹里,0163,0,90,1,185,9,0,285,2,287,0,287,361,648,44.29%
楠西區,東勢里,0164,3,154,0,326,16,0,499,2,501,0,501,641,1142,43.87%
楠西區,東勢里,0165,2,123,1,345,14,1,486,3,489,0,489,540,1029,47.52%
西港區,西港里,0166,1,211,4,194,24,0,434,2,436,0,436,478,914,47.70%
西港區,西港里,0167,0,235,2,142,17,1,397,3,400,0,400,470,870,45.98%
西港區,西港里,0168,1,293,2,198,21,1,516,4,520,0,520,759,1279,40.66%
西港區,慶安里,0169,2,266,0,250,22,0,540,2,542,0,542,768,1310,41.37%
西港區,慶安里,0170,0,241,2,224,11,0,478,1,479,0,479,504,983,48.73%
西港區,慶安里,0171,2,390,3,334,25,1,755,4,759,0,759,1082,1841,41.23%
西港區,南海里,0172,2,402,3,279,35,2,723,6,729,0,729,886,1615,45.14%
西港區,南海里,0173,0,180,1,96,14,0,291,1,292,0,292,421,713,40.95%
西港區,港東里,0174,0,192,0,230,30,1,453,4,457,0,457,728,1185,38.57%
西港區,港東里,0175,0,79,2,51,14,0,146,0,146,0,146,226,372,39.25%
西港區,�R林里,0176,0,173,0,127,8,1,309,2,311,0,311,441,752,41.36%
西港區,�R林里,0177,0,174,0,127,14,2,317,4,321,0,321,490,811,39.58%
西港區,後營里,0178,2,366,0,189,21,0,578,0,578,0,578,823,1401,41.26%
西港區,營西里,0179,1,273,8,230,39,2,553,4,557,0,557,873,1430,38.95%
西港區,金砂里,0180,1,175,6,130,12,0,324,0,324,0,324,419,743,43.61%
西港區,劉厝里,0181,0,307,0,208,36,1,552,3,555,0,555,707,1262,43.98%
西港區,竹林里,0182,1,344,3,211,50,1,610,2,612,0,612,743,1355,45.17%
西港區,永樂里,0183,0,240,0,137,19,1,397,3,400,0,400,538,938,42.64%
西港區,永樂里,0184,0,119,1,87,8,0,215,2,217,0,217,165,382,56.81%
西港區,新復里,0185,0,191,0,166,10,0,367,2,369,0,369,415,784,47.07%
安定區,蘇林里,0186,5,268,1,241,61,1,577,1,578,0,578,634,1212,47.69%
安定區,蘇林里,0187,2,198,0,137,51,1,389,3,392,0,392,467,859,45.63%
安定區,蘇厝里,0188,2,207,1,194,31,5,440,2,442,0,442,623,1065,41.50%
安定區,蘇厝里,0189,1,203,0,143,22,0,369,1,370,0,370,532,902,41.02%
安定區,安定里,0190,2,308,1,290,39,0,640,3,643,0,643,740,1383,46.49%
安定區,安加里,0191,0,259,0,179,35,0,473,4,477,0,477,552,1029,46.36%
安定區,安加里,0192,2,207,0,211,101,1,522,4,526,0,526,535,1061,49.58%
安定區,港尾里,0193,0,166,1,139,29,0,335,2,337,0,337,371,708,47.60%
安定區,港尾里,0194,0,144,0,179,29,0,352,1,353,0,353,411,764,46.20%
安定區,中榮里,0195,1,172,2,144,19,1,339,0,339,0,339,433,772,43.91%
安定區,中榮里,0196,1,185,0,133,23,1,343,3,346,0,346,482,828,41.79%
安定區,港口里,0197,1,261,2,289,30,2,585,2,587,0,587,857,1444,40.65%
安定區,港口里,0198,4,296,2,294,59,0,655,5,660,0,660,682,1342,49.18%
安定區,港南里,0199,2,287,4,248,21,7,569,6,575,0,575,877,1452,39.60%
安定區,港南里,0200,0,203,0,256,23,2,484,3,487,0,487,564,1051,46.34%
安定區,嘉同里,0201,1,266,2,175,43,0,487,3,490,0,490,630,1120,43.75%
安定區,嘉同里,0202,1,168,1,241,77,1,489,9,498,0,498,664,1162,42.86%
安定區,中沙里,0203,2,157,0,119,98,0,376,1,377,0,377,319,696,54.17%
安定區,新吉里,0204,2,248,0,244,53,0,547,4,551,0,551,881,1432,38.48%
安定區,新吉里,0205,1,197,0,159,47,1,405,1,406,0,406,522,928,43.75%
安定區,海寮里,0206,1,226,5,223,32,2,489,2,491,0,491,633,1124,43.68%
安定區,海寮里,0207,3,265,2,257,24,1,552,7,559,0,559,784,1343,41.62%
安定區,文科里,0208,4,242,2,138,31,0,417,5,422,0,422,503,925,45.62%
安定區,文科里,0209,0,129,1,125,7,0,262,1,263,0,263,327,590,44.58%
新市區,新市里,0210,2,204,0,193,17,0,416,3,419,0,419,531,950,44.11%
新市區,新市里,0211,1,272,1,235,14,2,525,3,528,0,528,554,1082,48.80%
新市區,新市里,0212,1,153,0,182,13,0,349,2,351,0,351,462,813,43.17%
新市區,新和里,0213,7,255,0,258,24,0,544,2,546,0,546,680,1226,44.54%
新市區,新和里,0214,2,284,1,290,20,1,598,3,601,0,601,670,1271,47.29%
新市區,新和里,0215,6,144,0,240,12,2,404,2,406,0,406,524,930,43.66%
新市區,新和里,0216,4,252,0,272,17,3,548,3,551,0,551,650,1201,45.88%
新市區,新和里,0217,2,291,2,258,28,0,581,3,584,0,584,729,1313,44.48%
新市區,社內里,0218,1,266,0,189,14,0,470,3,473,0,473,693,1166,40.57%
新市區,社內里,0219,3,299,2,172,19,0,495,1,496,0,496,770,1266,39.18%
新市區,大洲里,0220,1,132,3,114,52,1,303,1,304,0,304,367,671,45.31%
新市區,豐華里,0221,0,189,1,154,22,4,370,2,372,0,372,517,889,41.84%
新市區,三舍里,0222,0,304,2,278,30,2,616,1,617,0,617,856,1473,41.89%
新市區,大營里,0223,2,185,0,248,27,0,462,3,465,0,465,582,1047,44.41%
新市區,大營里,0224,2,218,3,217,14,1,455,1,456,0,456,596,1052,43.35%
新市區,大營里,0225,3,217,1,205,10,0,436,1,437,0,437,585,1022,42.76%
新市區,大社里,0226,2,330,0,221,27,0,580,3,583,0,583,928,1511,38.58%
新市區,大社里,0227,4,284,1,280,30,0,599,2,601,0,601,856,1457,41.25%
新市區,大社里,0228,2,304,0,199,21,0,526,4,530,0,530,797,1327,39.94%
新市區,潭頂里,0229,1,153,0,120,28,1,303,1,304,0,304,488,792,38.38%
新市區,潭頂里,0230,3,204,0,172,13,0,392,0,392,0,392,539,931,42.11%
新市區,港墘里,0231,2,141,0,190,17,0,350,1,351,0,351,556,907,38.70%
新市區,港墘里,0232,1,254,2,210,24,0,491,1,492,0,492,735,1227,40.10%
新市區,港墘里,0233,1,233,1,225,36,1,497,2,499,0,499,634,1133,44.04%
新市區,永就里,0234,0,156,0,148,8,0,312,0,312,0,312,359,671,46.50%
新市區,永就里,0235,2,216,2,268,8,1,497,3,500,0,500,523,1023,48.88%
新市區,永就里,0236,1,211,2,221,13,0,448,3,451,0,451,638,1089,41.41%
山上區,明和里,0237,1,150,0,161,26,1,339,2,341,0,341,481,822,41.48%
山上區,明和里,0238,0,143,0,146,15,0,304,2,306,0,306,511,817,37.45%
山上區,南洲里,0239,1,154,0,168,24,1,348,2,350,0,350,384,734,47.68%
山上區,南洲里,0240,0,170,3,147,15,1,336,0,336,0,336,429,765,43.92%
山上區,山上里,0241,1,154,3,209,14,1,382,9,391,0,391,565,956,40.90%
山上區,新莊里,0242,0,176,1,147,33,0,357,5,362,0,362,565,927,39.05%
山上區,玉?里,0243,0,126,1,100,4,0,231,0,231,0,231,302,533,43.34%
山上區,平陽里,0244,0,44,0,93,24,0,161,1,162,0,162,209,371,43.67%
山上區,豐德里,0245,1,59,0,65,7,0,132,2,134,0,134,248,382,35.08%
新化區,武安里,0246,3,147,4,210,19,2,385,1,386,0,386,328,714,54.06%
新化區,武安里,0247,1,237,0,270,19,0,527,4,531,0,531,537,1068,49.72%
新化區,武安里,0248,0,94,0,90,5,1,190,0,190,0,190,159,349,54.44%
新化區,武安里,0249,3,183,0,210,9,0,405,0,405,0,405,500,905,44.75%
新化區,東榮里,0250,2,203,1,270,13,0,489,3,492,0,492,621,1113,44.20%
新化區,東榮里,0251,0,188,1,206,18,3,416,4,420,0,420,620,1040,40.38%
新化區,東榮里,0252,3,181,0,294,18,0,496,5,501,0,501,532,1033,48.50%
新化區,東榮里,0253,1,116,0,142,9,1,269,3,272,0,272,354,626,43.45%
新化區,護國里,0254,3,190,1,223,37,0,454,2,456,0,456,459,915,49.84%
新化區,護國里,0255,2,137,0,255,19,0,413,2,415,0,415,391,806,51.49%
新化區,護國里,0256,0,140,0,172,18,1,331,1,332,0,332,601,933,35.58%
新化區,太平里,0257,1,279,2,272,27,0,581,2,583,0,583,714,1297,44.95%
新化區,太平里,0258,4,200,0,221,16,1,442,0,442,0,442,541,983,44.96%
新化區,太平里,0259,1,243,0,282,30,1,557,1,558,0,558,641,1199,46.54%
新化區,太平里,0260,1,181,1,176,26,0,385,1,386,0,386,384,770,50.13%
新化區,協興里,0261,1,185,0,227,28,0,441,2,443,0,443,532,975,45.44%
新化區,協興里,0262,1,165,0,245,16,0,427,3,430,0,430,554,984,43.70%
新化區,協興里,0263,0,219,0,295,19,2,535,2,537,0,537,645,1182,45.43%
新化區,唪口里,0264,2,213,0,256,37,0,508,2,510,0,510,585,1095,46.58%
新化區,唪口里,0265,1,243,1,154,33,0,432,1,433,0,433,542,975,44.41%
新化區,北勢里,0266,0,274,1,291,37,1,604,4,608,0,608,787,1395,43.58%
新化區,豐榮里,0267,1,263,0,379,34,0,677,4,681,0,681,901,1582,43.05%
新化區,豐榮里,0268,3,189,0,214,36,0,442,0,442,0,442,518,960,46.04%
新化區,豐榮里,0269,4,81,0,127,36,2,250,2,252,0,252,276,528,47.73%
新化區,全興里,0270,1,218,1,279,34,1,534,4,538,0,538,636,1174,45.83%
新化區,全興里,0271,1,236,2,396,20,0,655,1,656,0,656,848,1504,43.62%
新化區,崙頂里,0272,1,146,0,208,79,0,434,4,438,0,438,521,959,45.67%
新化區,崙頂里,0273,0,170,0,178,74,2,424,1,425,0,425,545,970,43.81%
新化區,知義里,0274,1,251,0,229,36,1,518,7,525,0,525,629,1154,45.49%
新化區,知義里,0275,1,161,0,215,4,1,382,3,385,0,385,607,992,38.81%
新化區,山?里,0276,2,209,1,299,45,0,556,2,558,0,558,805,1363,40.94%
新化區,大坑里,0277,0,112,1,72,17,0,202,0,202,0,202,242,444,45.50%
新化區,??拔里,0278,2,146,1,239,53,0,441,1,442,0,442,562,1004,44.02%
新化區,??拔里,0279,3,168,2,229,52,0,454,5,459,0,459,606,1065,43.10%
新化區,羊林里,0280,1,149,0,185,82,0,417,3,420,0,420,461,881,47.67%
新化區,礁坑里,0281,2,241,1,131,42,0,417,0,417,0,417,567,984,42.38%
左鎮區,光和里,0282,0,50,0,65,1,1,117,0,117,0,117,269,386,30.31%
左鎮區,榮和里,0283,1,144,0,108,6,1,260,0,260,0,260,354,614,42.35%
左鎮區,左鎮里,0284,1,78,1,82,10,0,172,1,173,0,173,286,459,37.69%
左鎮區,中正里,0285,0,120,0,165,14,2,301,0,301,0,301,434,735,40.95%
左鎮區,睦光里,0286,2,44,1,83,8,0,138,1,139,0,139,196,335,41.49%
左鎮區,內庄里,0287,0,50,0,112,8,0,170,3,173,0,173,211,384,45.05%
左鎮區,岡林里,0288,0,84,0,75,3,0,162,1,163,0,163,247,410,39.76%
左鎮區,草山里,0289,1,40,0,48,4,0,93,0,93,0,93,215,308,30.19%
左鎮區,二寮里,0290,0,55,0,23,6,0,84,0,84,0,84,98,182,46.15%
左鎮區,澄山里,0291,1,101,0,45,10,0,157,0,157,0,157,339,496,31.65%
南化區,南化里,0292,2,117,1,189,10,15,334,1,335,0,335,333,668,50.15%
南化區,南化里,0293,1,141,1,167,8,3,321,2,323,0,323,349,672,48.07%
南化區,小崙里,0294,1,103,0,221,7,0,332,2,334,0,334,446,780,42.82%
南化區,東和里,0295,2,87,2,129,14,0,234,0,234,0,234,403,637,36.73%
南化區,西埔里,0296,2,89,0,193,7,10,301,0,301,0,301,452,753,39.97%
南化區,中坑里,0297,1,47,0,116,8,2,174,1,175,0,175,243,418,41.87%
南化區,北平里,0298,1,110,1,133,14,1,260,0,260,0,260,287,547,47.53%
南化區,北寮里,0299,2,130,1,338,20,1,492,3,495,0,495,641,1136,43.57%
南化區,玉山里,0300,1,125,1,257,48,0,432,2,434,0,434,578,1012,42.89%
南化區,關山里,0301,1,29,0,171,9,0,210,1,211,0,211,695,906,23.29%
,,,,,,,,,,,,,,,,
