zone,2020,2024,diff,rate,target
高雄市03,4413,464,-3949,-89.49,
高雄市04,6708,698,-6010,-89.59,
高雄市05,3815,444,-3371,-88.36,
高雄市06,3394,364,-3030,-89.28,
高雄市07,6201,664,-5537,-89.29,
高雄市08,4614,541,-4073,-88.27,
高雄市09,6557,702,-5855,-89.29,
高雄市10,5965,637,-5328,-89.32,
高雄市11,2954,346,-2608,-88.29,
新北市01,5957,992,-4965,-83.35,
新北市02,19356,2905,-16451,-84.99,
新北市03,0,1702,1702,0,
新北市04,14437,2038,-12399,-85.88,
新北市05,14049,1846,-12203,-86.86,
新北市06,11255,1286,-9969,-88.57,
新北市07,6010,710,-5300,-88.19,
新北市08,15691,2312,-13379,-85.27,
新北市09,8899,1468,-7431,-83.5,
新北市10,1395,244,-1151,-82.51,
新北市11,6218,940,-5278,-84.88,
臺中市01,2534,373,-2161,-85.28,
臺中市02,5718,769,-4949,-86.55,
臺中市03,4980,723,-4257,-85.48,
臺中市04,5193,675,-4518,-87,
臺中市05,6427,804,-5623,-87.49,
臺中市06,5867,754,-5113,-87.15,
臺中市07,4436,564,-3872,-87.29,
臺中市08,7134,902,-6232,-87.36,
臺中市09,3642,473,-3169,-87.01,
臺中市10,3299,409,-2890,-87.6,
臺中市11,4980,652,-4328,-86.91,
臺中市12,4589,649,-3940,-85.86,
臺中市13,7160,1019,-6141,-85.77,
臺中市14,2285,319,-1966,-86.04,
臺南市01,3268,432,-2836,-86.78,
臺南市02,2544,286,-2258,-88.76,
臺南市03,2091,228,-1863,-89.1,
臺南市04,748,83,-665,-88.9,
臺南市05,2921,346,-2575,-88.15,
臺南市06,3703,428,-3275,-88.44,
臺南市07,4436,584,-3852,-86.83,
臺南市08,4174,479,-3695,-88.52,
臺南市09,3815,399,-3416,-89.54,
臺南市10,3445,389,-3056,-88.71,
臺南市11,3127,387,-2740,-87.62,
桃園市01,10979,1324,-9655,-87.94,
桃園市02,3882,580,-3302,-85.06,
桃園市03,4801,641,-4160,-86.65,
桃園市04,3634,510,-3124,-85.97,
桃園市05,2027,261,-1766,-87.12,
桃園市06,2173,285,-1888,-86.88,
桃園市07,9727,1088,-8639,-88.81,
桃園市08,5130,642,-4488,-87.49,
桃園市09,4034,608,-3426,-84.93,
桃園市10,2760,380,-2380,-86.23,
桃園市11,1055,151,-904,-85.69,
桃園市12,1574,227,-1347,-85.58,
