行政區別,村里別,投開票所別,號次1,號次2,號次3,號次4,號次5,號次6,有效票數A（A＝1＋2＋…＋N）,無效票數B,投票數C（C＝A＋B）,已領未投票數D（D＝E－C）,發出票數E（E＝C＋D）,用餘票數F,選舉人數(原領票數)G（G＝E＋F）,投票率H（H＝C÷G）
金寧鄉,榜林村,0034,72,118,33,5,0,83,311,2,313,0,313,"1,472","1,785",17.54%
金寧鄉,榜林村,0035,66,90,48,1,4,84,293,1,294,0,294,"1,157","1,451",20.26%
金寧鄉,盤山村,0036,78,76,41,4,3,92,294,0,294,0,294,"1,143","1,437",20.46%
金寧鄉,盤山村,0037,75,107,36,10,8,82,318,2,320,0,320,"1,303","1,623",19.72%
金寧鄉,盤山村,0038,46,69,18,10,2,36,181,3,184,0,184,"1,292","1,476",12.47%
金寧鄉,盤山村,0039,49,69,26,8,1,98,251,1,252,0,252,982,"1,234",20.42%
金寧鄉,后盤村,0040,43,91,58,2,0,88,282,2,284,0,284,"1,223","1,507",18.85%
烈嶼鄉,林湖村,0041,295,50,75,1,5,52,478,4,482,0,482,"1,106","1,588",30.35%
烈嶼鄉,林湖村,0042,182,47,61,1,5,55,351,4,355,0,355,"1,309","1,664",21.33%
烈嶼鄉,黃埔村,0043,193,41,23,4,19,24,304,2,306,0,306,"1,266","1,572",19.47%
烈嶼鄉,西口村,0044,105,28,54,0,6,15,208,1,209,0,209,"1,067","1,276",16.38%
烈嶼鄉,西口村,0045,117,19,23,2,7,19,187,0,187,0,187,881,"1,068",17.51%
烈嶼鄉,上林村,0046,122,40,38,1,2,26,229,2,231,0,231,"1,148","1,379",16.75%
烈嶼鄉,上岐村,0047,171,17,50,2,6,36,282,2,284,0,284,"1,091","1,375",20.65%
烈嶼鄉,上岐村,0048,213,27,42,1,2,17,302,3,305,0,305,"1,074","1,379",22.12%
烏坵鄉,大坵村,0049,8,0,3,0,0,9,20,0,20,0,20,245,265,7.55%
烏坵鄉,小坵村,0050,2,0,5,1,0,1,9,0,9,0,9,267,276,3.26%
金湖鎮,新市里,0051,42,88,124,7,1,84,346,4,350,0,350,962,"1,312",26.68%
金湖鎮,新市里,0052,43,79,158,9,1,88,378,3,381,0,381,965,"1,346",28.31%
金湖鎮,新市里,0053,66,71,193,7,9,86,432,2,434,0,434,911,"1,345",32.27%
金湖鎮,山外里,0054,59,108,131,7,0,132,437,3,440,0,440,"1,259","1,699",25.90%
金湖鎮,山外里,0055,55,86,157,24,3,69,394,2,396,0,396,"1,045","1,441",27.48%
金湖鎮,溪湖里,0056,38,44,166,6,2,43,299,2,301,0,301,"1,132","1,433",21.00%
金湖鎮,蓮庵里,0057,37,51,178,3,1,89,359,2,361,0,361,"1,222","1,583",22.80%
金湖鎮,料羅里,0058,56,54,221,16,4,65,416,5,421,0,421,"1,502","1,923",21.89%
金湖鎮,新湖里,0059,55,93,119,8,5,109,389,1,390,0,390,"1,369","1,759",22.17%
金湖鎮,新湖里,0060,80,52,85,17,0,108,342,3,345,0,345,"1,323","1,668",20.68%
金湖鎮,新湖里,0061,45,80,111,4,1,96,337,1,338,0,338,"1,003","1,341",25.21%
金湖鎮,新湖里,0062,31,67,138,3,2,97,338,5,343,0,343,989,"1,332",25.75%
金湖鎮,新湖里,0063,43,79,111,11,4,92,340,1,341,0,341,921,"1,262",27.02%
金湖鎮,正義里,0064,23,59,92,8,3,53,238,4,242,0,242,948,"1,190",20.34%
金湖鎮,正義里,0065,22,70,152,4,5,91,344,3,347,0,347,985,"1,332",26.05%
金湖鎮,瓊林里,0066,37,28,232,10,2,83,392,4,396,0,396,"1,184","1,580",25.06%
金湖鎮,瓊林里,0067,36,44,223,5,0,69,377,2,379,0,379,"1,088","1,467",25.84%
金沙鎮,汶沙里,0068,47,40,27,8,1,67,190,0,190,0,190,700,890,21.35%
金沙鎮,汶沙里,0069,39,59,18,5,0,66,187,1,188,0,188,776,964,19.50%
金沙鎮,汶沙里,0070,94,75,68,13,1,127,378,2,380,0,380,"1,085","1,465",25.94%
金沙鎮,汶沙里,0071,75,65,46,14,3,115,318,3,321,0,321,"1,303","1,624",19.77%
金沙鎮,何斗里,0072,23,53,45,3,0,84,208,0,208,0,208,756,964,21.58%
金沙鎮,何斗里,0073,24,49,42,3,0,100,218,1,219,0,219,764,983,22.28%
金沙鎮,浦山里,0074,21,39,37,0,1,128,226,1,227,0,227,955,"1,182",19.20%
金沙鎮,浦山里,0075,18,63,30,3,2,92,208,4,212,0,212,886,"1,098",19.31%
金沙鎮,西園里,0076,51,64,53,1,0,93,262,1,263,0,263,"1,218","1,481",17.76%
金沙鎮,官嶼里,0077,82,35,27,1,0,75,220,2,222,0,222,966,"1,188",18.69%
金沙鎮,官嶼里,0078,35,23,25,5,1,41,130,1,131,0,131,815,946,13.85%
金沙鎮,三山里,0079,45,110,53,13,1,121,343,1,344,0,344,"1,484","1,828",18.82%
金沙鎮,大洋里,0080,35,46,57,9,1,123,271,1,272,0,272,828,"1,100",24.73%
金沙鎮,光前里,0081,30,80,41,11,1,65,228,1,229,0,229,941,"1,170",19.57%
金沙鎮,光前里,0082,23,68,42,7,1,75,216,0,216,0,216,827,"1,043",20.71%
