村里,總統票總數,柯文哲,賴清德,侯友宜
高雄市左營區新光里,9485,2157,4236,3092
新竹縣新豐鄉松柏村,4754,2143,1161,1450
高雄市鳳山區鎮北里,7176,2098,3194,1884
新竹縣竹北市中崙里,5328,2097,1561,1670
臺中市豐原區西湳里,6825,2089,2882,1854
臺中市南區樹德里,6446,2087,2241,2118
臺中市烏日區三和里,5703,2068,1943,1692
臺中市清水區槺榔里,5618,2064,2123,1431
彰化縣彰化市延平里,6736,2062,2448,2226
彰化縣彰化市阿夷里,6167,2061,2082,2024
臺中市豐原區豐田里,7343,2059,3056,2228
臺中市大里區金城里,6533,2052,2427,2054
桃園市桃園區同安里,7298,2047,2721,2530
桃園市中壢區文化里,6381,2045,2166,2170
新竹縣竹北市新崙里,5041,2040,1458,1543
臺中市沙鹿區三鹿里,5577,2037,1767,1773
新北市新莊區頭前里,6924,2014,2865,2045
新北市新莊區龍鳳里,6409,2014,2485,1910
高雄市三民區正興里,8122,2013,3692,2417
新竹縣竹北市十興里,5330,1995,1780,1555
新北市淡水區大庄里,7493,1989,2357,3147
新竹縣竹北市新社里,5247,1988,1517,1742
桃園市龜山區大華里,6369,1970,2393,2006
臺中市南屯區三和里,6465,1956,2156,2353
新北市蘆洲區水湳里,6633,1950,2846,1837
新北市新莊區昌平里,5986,1948,2193,1845
新竹縣竹北市新國里,4722,1931,1438,1353
臺中市大里區長榮里,6263,1920,2305,2038
臺中市南區永興里,5911,1915,2064,1932
臺中市大里區仁化里,5879,1915,2393,1571
臺中市大里區內新里,5992,1913,2173,1906
彰化縣彰化市南興里,5832,1900,2143,1789
臺中市龍井區龍泉里,5737,1896,2059,1782
臺中市龍井區東海里,6245,1894,2081,2270
臺中市北屯區松竹里,6523,1892,2262,2369
新北市新店區香坡里,7501,1883,2012,3606
新竹縣竹東鎮五豐里,4873,1881,1015,1977
臺中市霧峰區吉峰里,6495,1870,2456,2169
臺中市東區東信里,6527,1863,2875,1789
高雄市楠梓區藍田里,5979,1856,2556,1567
新北市新莊區中平里,6057,1852,2333,1872
臺中市烏日區烏日里,6424,1850,2559,2015
臺中市太平區新坪里,5506,1842,1868,1796
新北市三峽區龍埔里,6055,1840,2177,2038
新北市林口區西林里,6953,1839,2640,2474
桃園市桃園區莊敬里,6375,1838,2131,2406
臺中市西屯區福林里,5700,1835,1903,1962
臺中市梧棲區大庄里,5531,1834,2071,1626
新北市淡水區北投里,6736,1832,2276,2628
桃園市平鎮區平南里,5063,1831,1581,1651
臺南市永康區復華里,6508,1831,2609,2068
新北市鶯歌區尖山里,5815,1826,2290,1699
臺北市內湖區五分里,6219,1823,2296,2100
桃園市平鎮區金星里,4900,1822,1496,1582
臺中市大里區立德里,5690,1822,2232,1636
新竹縣竹東鎮榮華里,5091,1821,1107,2163
新北市板橋區溪頭里,6107,1816,2564,1727
桃園市桃園區汴洲里,5206,1816,1973,1417
臺中市沙鹿區竹林里,5575,1796,1941,1838
臺中市南屯區南屯里,6188,1794,2412,1982
桃園市桃園區寶安里,5715,1790,1918,2007
高雄市鳳山區文福里,6778,1787,2857,2134
臺中市太平區新興里,4641,1785,1624,1232
新北市中和區中原里,6138,1783,2099,2256
高雄市小港區山明里,7404,1780,3895,1729
臺南市仁德區後壁里,6832,1777,3494,1561
新竹市北區湳中里,5108,1775,1612,1721
新北市五股區成功里,5296,1774,2114,1408
臺中市神岡區社口里,5506,1772,2257,1477
高雄市大寮區中庄里,7431,1771,3730,1930
新北市淡水區竿蓁里,7212,1765,2530,2917
桃園市龜山區文化里,5570,1748,2097,1725
臺北市北投區奇岩里,7137,1746,2979,2412
基隆市信義區孝忠里,5555,1742,1680,2133
新竹縣竹東鎮三重里,4513,1737,1038,1738
新北市板橋區忠翠里,6857,1735,2768,2354
臺中市大里區塗城里,5789,1733,2368,1688
桃園市桃園區中正里,5402,1731,1893,1778
臺中市東區東英里,5661,1727,2288,1646
臺中市南屯區三厝里,5327,1727,1924,1676
臺中市大里區新仁里,5601,1726,2302,1573
桃園市桃園區龍鳳里,5415,1724,1756,1935
臺北市中正區南福里,6691,1716,2326,2649
新北市土城區員林里,5778,1716,2131,1931
臺中市太平區新福里,5040,1713,1750,1577
臺中市烏日區榮泉里,4809,1701,1635,1473
臺中市太平區新光里,5478,1697,2151,1630
臺中市南區工學里,5072,1696,1752,1624
雲林縣麥寮鄉麥豐村,4768,1695,1586,1487
新北市樹林區柑園里,6181,1694,2175,2312
新北市泰山區義仁里,5518,1694,2179,1645
臺中市北屯區仁和里,6093,1690,2295,2108
新竹市東區東園里,4511,1690,1562,1259
桃園市楊梅區永寧里,5076,1685,1645,1746
臺南市永康區東橋里,5418,1680,2539,1199
新北市蘆洲區水河里,5860,1678,2595,1587
高雄市鳳山區南成里,6561,1677,3348,1536
新北市永和區保順里,6760,1673,2120,2967
新北市板橋區崑崙里,5952,1671,2360,1921
新北市三峽區鳶山里,5909,1671,2279,1959
新竹縣竹北市泰和里,4471,1668,1197,1606
新北市淡水區新春里,5863,1666,2132,2065
臺南市仁德區仁德里,6168,1666,2916,1586
桃園市大園區南港里,4609,1664,1674,1271
臺南市永康區復國里,5841,1657,2218,1966
桃園市桃園區龍壽里,4764,1654,1642,1468
臺中市潭子區家興里,5018,1648,1693,1677
南投縣草屯鎮山腳里,5696,1647,1765,2284
臺中市大里區祥興里,5268,1646,2135,1487
臺中市東區東門里,5398,1645,2364,1389
臺中市南屯區惠中里,5906,1644,2228,2034
新竹縣湖口鄉中興村,4204,1641,858,1705
臺中市大肚區頂街里,5368,1639,1821,1908
臺中市沙鹿區埔子里,4653,1638,1505,1510
桃園市大園區田心里,5109,1636,2044,1429
臺中市清水區橋頭里,5426,1632,2296,1498
桃園市中壢區內定里,5153,1630,2058,1465
臺北市北投區關渡里,6616,1627,2723,2266
新北市中和區平河里,5939,1620,2076,2243
桃園市桃園區大林里,4903,1617,1844,1442
桃園市桃園區自強里,5558,1611,1943,2004
桃園市八德區大和里,5277,1611,1533,2133
臺中市烏日區仁德里,5649,1611,2172,1866
臺中市南區南和里,4985,1605,1728,1652
新北市林口區麗林里,5524,1602,1755,2167
新竹市東區綠水里,4655,1600,1489,1566
臺北市北投區立農里,5838,1592,2391,1855
臺中市沙鹿區鹿寮里,5391,1591,2346,1454
新北市新莊區丹鳳里,5310,1582,2043,1685
臺南市安平區國平里,5865,1582,2680,1603
新竹市東區科園里,4737,1581,1441,1715
新北市泰山區全興里,5395,1578,2023,1794
彰化縣彰化市南瑶里,5510,1573,2063,1874
新北市鶯歌區二橋里,5229,1570,2111,1548
桃園市平鎮區義興里,4999,1569,1768,1662
高雄市鳥松區鳥松里,7195,1567,3542,2086
桃園市桃園區大有里,4670,1564,1510,1596
臺北市內湖區西康里,6068,1563,2094,2411
桃園市桃園區文中里,4382,1563,1520,1299
桃園市楊梅區瑞坪里,4368,1562,1173,1633
桃園市八德區瑞豐里,3939,1551,1173,1215
桃園市觀音區草新里,4318,1550,1587,1181
臺中市太平區永成里,4878,1550,1936,1392
臺中市外埔區大東里,4508,1549,1470,1489
臺南市仁德區仁義里,6620,1549,3310,1761
高雄市仁武區文武里,6601,1548,3409,1644
桃園市龜山區長庚里,3888,1546,1380,962
桃園市桃園區中成里,4856,1545,1828,1483
臺北市南港區舊莊里,5331,1539,1956,1836
臺中市大雅區上楓里,4683,1532,1784,1367
新北市三重區溪美里,5593,1528,2459,1606
桃園市桃園區中山里,4930,1527,1763,1640
屏東縣屏東市崇蘭里,5686,1527,1976,2183
臺中市太平區長億里,4632,1525,1668,1439
臺中市北屯區松和里,4653,1522,1575,1556
臺北市內湖區港富里,5899,1519,2256,2124
南投縣草屯鎮富寮里,4910,1519,1743,1648
苗栗縣竹南鎮大埔里,3816,1518,1202,1096
高雄市仁武區灣內里,5894,1517,2889,1488
新北市新莊區中信里,5265,1515,2232,1518
臺中市北屯區松強里,4913,1514,1775,1624
桃園市楊梅區上湖里,4177,1512,1289,1376
新北市三重區碧華里,5551,1509,2235,1807
臺中市北屯區平興里,4828,1507,1659,1662
新竹市北區金竹里,4243,1506,1367,1370
新竹市北區舊社里,4349,1503,1485,1361
臺北市南港區中研里,5684,1502,2198,1984
臺中市西屯區何成里,5147,1499,1896,1752
臺中市南屯區三義里,4791,1498,1638,1655
臺南市安平區育平里,5586,1498,2490,1598
桃園市桃園區信光里,4999,1497,1956,1546
新北市土城區埤林里,5329,1495,2001,1833
臺南市永康區二王里,5500,1494,2369,1637
桃園市楊梅區瑞塘里,4182,1493,1306,1383
新竹縣竹北市竹義里,4051,1478,1172,1401
南投縣南投市漳和里,5069,1478,1743,1848
新北市板橋區重慶里,5348,1477,2081,1790
新北市中和區積穗里,5461,1477,1955,2029
新北市新店區柴埕里,5587,1477,1816,2294
臺中市龍井區新庄里,4494,1476,1675,1343
新北市板橋區中正里,4630,1475,1797,1358
新北市土城區永寧里,5082,1473,1908,1701
臺北市內湖區東湖里,5057,1472,1849,1736
臺中市沙鹿區六路里,4111,1472,1493,1146
新竹市東區金山里,3820,1468,1045,1307
臺北市內湖區寶湖里,5992,1467,2013,2512
桃園市中壢區幸福里,4361,1467,1425,1469
臺中市大雅區上雅里,4293,1467,1577,1249
臺南市安南區溪心里,5164,1465,2588,1111
臺北市松山區龍田里,6341,1464,1807,3070
臺中市大里區東興里,4972,1464,2017,1491
新北市鶯歌區鳳鳴里,4107,1463,1461,1183
臺北市內湖區港華里,5622,1462,2124,2036
臺中市北屯區三光里,5021,1462,1736,1823
桃園市中壢區洽溪里,3905,1460,1488,957
臺中市潭子區大豐里,4500,1460,1773,1267
南投縣埔里鎮枇杷里,4896,1460,1488,1948
桃園市中壢區興華里,4206,1453,1272,1481
新北市汐止區忠孝里,5260,1451,1775,2034
桃園市中壢區五權里,4663,1451,1775,1437
臺南市永康區勝利里,5506,1450,2225,1831
臺北市內湖區康寧里,5276,1449,1788,2039
屏東縣屏東市崇陽里,5114,1449,1514,2151
臺北市文山區木柵里,6055,1446,1668,2941
臺北市內湖區金湖里,6029,1445,2148,2436
臺北市內湖區週美里,5702,1443,2297,1962
臺中市西屯區西墩里,4562,1442,1780,1340
臺中市神岡區豐洲里,5106,1441,2173,1492
臺南市永康區永康里,5604,1441,2731,1432
新北市土城區日和里,5161,1438,2108,1615
臺南市永康區埔園里,5252,1437,2606,1209
臺中市南屯區田心里,4855,1434,1890,1531
臺中市梧棲區草湳里,4438,1434,1621,1383
高雄市鳳山區文德里,6269,1434,2636,2199
臺中市太平區新城里,4025,1433,1372,1220
新北市三峽區安溪里,4441,1431,1589,1421
新北市土城區清水里,4965,1429,2010,1526
嘉義市西區劉厝里,5005,1429,2018,1558
桃園市桃園區龍安里,4014,1428,1307,1279
新竹縣芎林鄉上山村,3845,1428,1047,1370
高雄市橋頭區新莊里,4295,1425,1871,999
苗栗縣頭份市後庄里,3617,1425,969,1223
桃園市桃園區寶慶里,4492,1424,1503,1565
彰化縣彰化市福山里,4785,1422,1866,1497
苗栗縣頭份市東庄里,3493,1421,778,1294
臺中市龍井區山腳里,4164,1420,1533,1211
臺中市西屯區何源里,4768,1415,1701,1652
新竹市東區新莊里,3797,1415,1160,1222
臺中市大雅區二和里,4384,1414,1547,1423
桃園市龍潭區中山里,4528,1412,1456,1660
臺中市沙鹿區鹿峰里,4351,1412,1696,1243
苗栗縣竹南鎮新南里,3793,1407,1194,1192
臺北市內湖區樂康里,4737,1404,1717,1616
新北市鶯歌區永昌里,4998,1403,1986,1609
臺南市永康區西灣里,5301,1398,2697,1206
高雄市鳥松區大華里,7236,1392,3418,2426
臺中市西區公正里,4695,1388,1805,1502
桃園市桃園區中德里,4631,1387,1714,1530
新北市板橋區福安里,4801,1386,1611,1804
臺中市梧棲區南簡里,4055,1386,1604,1065
臺北市文山區興旺里,5111,1385,1389,2337
新北市三重區五常里,4223,1382,1742,1099
新竹市北區南寮里,3955,1380,1427,1148
新北市三重區成功里,4815,1379,1936,1500
新北市五股區水碓里,4847,1379,2084,1384
桃園市平鎮區平興里,4067,1379,1267,1421
桃園市大園區菓林里,4540,1375,1854,1311
桃園市桃園區慈文里,4487,1372,1707,1408
新北市蘆洲區成功里,4619,1370,2030,1219
臺中市南屯區大業里,4914,1370,1857,1687
新竹縣新豐鄉重興村,3591,1370,885,1336
桃園市中壢區龍昌里,4289,1368,1116,1805
新北市新店區張北里,5944,1366,1698,2880
臺中市大雅區文雅里,4260,1365,1481,1414
臺北市萬華區華江里,5060,1364,2109,1587
南投縣草屯鎮敦和里,4589,1364,1590,1635
基隆市中正區新豐里,4388,1363,1275,1750
臺中市太平區宜佳里,4185,1359,1435,1391
新北市板橋區新翠里,5279,1358,2245,1676
桃園市桃園區瑞慶里,4141,1356,1375,1410
臺南市新營區新東里,4676,1356,1830,1490
臺北市信義區安康里,6119,1355,2211,2553
桃園市中壢區月眉里,4288,1355,2030,903
臺北市文山區木新里,5547,1352,1915,2280
臺北市內湖區紫陽里,5349,1352,1984,2013
桃園市龍潭區中正里,4020,1352,1071,1597
臺中市西屯區西安里,4058,1352,1500,1206
桃園市平鎮區復旦里,4014,1350,1284,1380
臺南市永康區網寮里,4922,1350,2397,1175
新北市林口區東勢里,4736,1349,1650,1737
彰化縣和美鎮竹營里,4250,1348,1562,1340
新北市新店區安和里,5057,1347,1603,2107
桃園市桃園區檜樂里,4302,1345,1357,1600
臺北市大同區雙連里,5498,1343,2533,1622
桃園市桃園區春日里,4173,1341,1545,1287
臺中市梧棲區大村里,4091,1340,1581,1170
臺中市西屯區福雅里,4229,1338,1467,1424
嘉義縣民雄鄉福樂村,4708,1335,1975,1398
桃園市蘆竹區大竹里,4083,1334,1527,1222
桃園市蘆竹區中興里,3814,1333,1397,1084
新竹市東區振興里,3936,1333,1326,1277
臺北市士林區社新里,5490,1332,2622,1536
新竹市北區磐石里,3802,1331,1407,1064
桃園市平鎮區新富里,4129,1329,1317,1483
臺中市大里區國光里,4190,1329,1533,1328
桃園市平鎮區平安里,3864,1328,1306,1230
新竹縣湖口鄉東興村,3402,1328,900,1174
桃園市龜山區龜山里,4571,1323,1814,1434
臺中市大里區仁德里,4172,1323,1620,1229
桃園市桃園區中寧里,4349,1322,1497,1530
臺中市西屯區何仁里,4435,1322,1713,1400
臺中市南屯區楓樹里,4661,1322,1867,1472
臺中市大雅區六寶里,4309,1318,1458,1533
高雄市三民區寶玉里,5557,1318,2627,1612
新竹市東區東勢里,3143,1318,1084,741
屏東縣屏東市大武里,5564,1316,2409,1839
新竹縣湖口鄉信勢村,3655,1314,953,1388
桃園市平鎮區南勢里,4204,1312,1460,1432
臺中市北屯區水湳里,4847,1310,1788,1749
臺中市太平區新吉里,4040,1310,1410,1320
彰化縣員林市三和里,4371,1309,1564,1498
臺中市西屯區潮洋里,4276,1308,1606,1362
高雄市楠梓區加昌里,5484,1308,2157,2019
苗栗縣竹南鎮山佳里,3458,1308,941,1209
新北市汐止區厚德里,4745,1306,1554,1885
臺南市善化區蓮潭里,3146,1306,1350,490
新北市新莊區後港里,4597,1305,1930,1362
苗栗縣竹南鎮大厝里,3917,1304,1153,1460
臺北市中正區新營里,4887,1303,1583,2001
臺中市豐原區三村里,4596,1303,1900,1393
新竹市東區明湖里,3352,1303,1004,1045
臺北市內湖區安湖里,4684,1302,1719,1663
新竹縣湖口鄉鳳凰村,3459,1302,842,1315
臺中市南屯區寶山里,3840,1301,1424,1115
新北市板橋區華東里,5302,1300,1902,2100
高雄市前鎮區草衙里,6065,1300,3346,1419
臺中市南區福順里,4160,1298,1562,1300
臺中市大里區中新里,3824,1297,1339,1188
新北市汐止區中興里,4890,1296,1877,1717
高雄市鳳山區文華里,5753,1295,2262,2196
臺北市內湖區清白里,5451,1294,1897,2260
臺中市北區健行里,4748,1292,1965,1491
臺南市新市區新和里,4748,1292,2364,1092
高雄市大寮區後庄里,5392,1292,2583,1517
新竹市東區柴橋里,3885,1292,1331,1262
桃園市桃園區同德里,4429,1291,1515,1623
桃園市中壢區復華里,4046,1291,1311,1444
桃園市中壢區自信里,4028,1291,1059,1678
新竹市香山區頂埔里,3606,1291,1314,1001
臺北市文山區華興里,5482,1290,1678,2514
高雄市三民區本館里,5862,1288,2884,1690
桃園市龜山區迴龍里,4214,1286,1607,1321
新竹市北區海濱里,3198,1286,1075,837
彰化縣和美鎮山犁里,3850,1285,1334,1231
新北市三重區光明里,4638,1284,1922,1432
臺南市永康區正強里,5261,1284,2611,1366
新北市蘆洲區永康里,4186,1281,1871,1034
新北市板橋區成和里,4278,1280,1640,1358
新竹縣湖口鄉德盛村,3519,1280,946,1293
基隆市中山區德和里,4454,1280,1392,1782
臺北市文山區樟林里,5094,1279,1522,2293
臺中市南屯區春社里,4371,1279,1525,1567
臺中市潭子區頭家里,3931,1279,1417,1235
新竹市東區關東里,3500,1279,1012,1209
高雄市岡山區竹圍里,4816,1278,2258,1280
臺北市萬華區新和里,5282,1277,1175,2830
高雄市仁武區赤山里,5123,1277,2454,1392
臺北市南港區三重里,4644,1276,1677,1691
臺北市內湖區葫洲里,4403,1276,1368,1759
臺南市安南區新順里,4742,1276,2363,1103
新竹縣新埔鎮文山里,3568,1276,958,1334
新北市林口區仁愛里,4372,1275,1412,1685
臺中市梧棲區福德里,3677,1274,1413,990
臺中市大甲區日南里,3808,1273,1402,1133
臺北市內湖區湖濱里,5336,1270,1791,2275
新北市板橋區德翠里,4537,1270,1716,1551
高雄市小港區桂林里,5218,1270,2707,1241
臺北市文山區萬芳里,4865,1269,1404,2192
基隆市中山區和慶里,4137,1269,1441,1427
桃園市龜山區大同里,4147,1267,1577,1303
新北市中和區新南里,5263,1264,1672,2327
新北市中和區華新里,4850,1264,1333,2253
桃園市桃園區雲林里,4372,1264,1600,1508
臺中市北屯區平德里,4385,1261,1625,1499
新竹市東區高峰里,4016,1261,1425,1330
新竹市東區仙水里,3380,1259,1042,1079
新竹市香山區虎山里,3782,1259,1546,977
新北市三峽區龍恩里,4373,1257,1437,1679
桃園市八德區大宏里,3652,1257,1172,1223
臺中市西區吉龍里,4663,1257,1799,1607
桃園市中壢區永福里,4087,1256,1513,1318
臺中市西屯區上石里,3660,1255,1232,1173
南投縣草屯鎮御史里,4280,1254,1621,1405
臺中市大雅區三和里,3917,1251,1472,1194
基隆市暖暖區碇祥里,4119,1251,1237,1631
新北市新莊區建安里,4259,1249,1810,1200
臺北市文山區順興里,4592,1248,1479,1865
桃園市桃園區南門里,4154,1247,1558,1349
桃園市平鎮區新榮里,3912,1247,1353,1312
花蓮縣吉安鄉慶豐村,4763,1246,1332,2185
臺中市太平區宜欣里,4256,1245,1726,1285
臺北市內湖區湖興里,4606,1244,1653,1709
新北市鶯歌區建國里,4273,1243,1715,1315
屏東縣屏東市瑞光里,4990,1243,2029,1718
臺中市北區建成里,3936,1242,1445,1249
新北市板橋區中山里,4354,1241,1561,1552
臺中市南區崇倫里,4044,1241,1509,1294
臺中市沙鹿區北勢里,3667,1239,1270,1158
新北市板橋區海山里,4794,1238,1974,1582
高雄市大寮區山頂里,5016,1238,2090,1688
臺北市士林區蘭雅里,5374,1237,2206,1931
桃園市楊梅區四維里,3520,1237,991,1292
彰化縣彰化市向陽里,3927,1236,1256,1435
桃園市桃園區豐林里,4474,1234,1714,1526
桃園市蘆竹區營盤里,3593,1234,1187,1172
桃園市大園區大園里,4285,1234,1767,1284
彰化縣員林市南平里,4024,1234,1487,1303
花蓮縣吉安鄉北昌村,4831,1234,1363,2234
桃園市大溪區仁愛里,3764,1232,1334,1198
臺北市北投區清江里,5362,1231,2316,1815
臺南市安平區平通里,5051,1231,2424,1396
臺北市文山區萬興里,5073,1230,1705,2138
新竹市東區關新里,3186,1230,1137,819
桃園市桃園區龍岡里,4059,1229,1320,1510
高雄市三民區寶國里,5226,1228,2494,1504
桃園市平鎮區義民里,3739,1227,1223,1289
基隆市七堵區百福里,4220,1227,1557,1436
臺北市松山區自強里,5610,1226,1165,3219
臺北市松山區安平里,5054,1225,1987,1842
臺北市松山區中正里,5444,1225,2275,1944
新北市土城區平和里,4368,1225,1821,1322
新北市八里區舊城里,4347,1225,1703,1419
新竹市東區復興里,3603,1225,1246,1132
臺北市內湖區行善里,4555,1224,1765,1566
臺中市大里區立仁里,3724,1223,1443,1058
臺北市中山區永安里,5620,1222,2204,2194
臺北市北投區永和里,5709,1222,2437,2050
新北市淡水區新興里,4620,1222,1604,1794
臺北市文山區景行里,4658,1221,1694,1743
桃園市桃園區中興里,4318,1220,1783,1315
雲林縣北港鎮新街里,4451,1220,1908,1323
新竹市香山區牛埔里,3307,1220,1121,966
臺中市北屯區三和里,4126,1219,1399,1508
新竹縣新豐鄉松林村,3206,1219,799,1188
高雄市三民區鼎盛里,5032,1215,2407,1410
臺北市文山區興家里,4633,1213,1324,2096
臺中市大肚區瑞井里,3718,1211,1383,1124
新北市蘆洲區樓厝里,4283,1210,1812,1261
屏東縣潮州鎮永春里,4876,1210,2180,1486
新北市土城區峯廷里,4342,1208,1726,1408
臺北市內湖區紫星里,5074,1205,1976,1893
桃園市龜山區大湖里,4030,1205,1452,1373
臺中市北區錦祥里,3605,1204,1160,1241
桃園市蘆竹區長壽里,3933,1203,1343,1387
臺南市安南區安慶里,4594,1203,2440,951
新竹縣湖口鄉信義村,2995,1203,722,1070
桃園市桃園區南埔里,3901,1200,1499,1202
桃園市龜山區精忠里,3761,1200,944,1617
臺中市神岡區社南里,3826,1200,1618,1008
臺北市中山區金泰里,4698,1199,1718,1781
桃園市中壢區仁美里,3991,1199,1190,1602
臺北市大安區龍淵里,5378,1198,2015,2165
新北市汐止區福安里,4064,1198,1444,1422
臺北市南港區東新里,4237,1197,1577,1463
臺北市北投區一德里,4607,1197,1993,1417
嘉義縣中埔鄉和美村,4844,1197,2070,1577
桃園市中壢區中正里,3633,1194,1002,1437
臺中市西屯區上安里,3833,1194,1370,1269
桃園市中壢區永光里,3931,1192,1437,1302
新竹市香山區頂福里,3250,1192,1129,929
桃園市蘆竹區福昌里,3674,1191,1266,1217
新北市土城區明德里,4157,1189,1526,1442
桃園市桃園區青溪里,3900,1189,1580,1131
桃園市大園區五權里,3757,1188,1698,871
高雄市鳳山區保安里,4687,1188,2276,1223
桃園市八德區興中里,3100,1187,934,979
臺中市豐原區田心里,4234,1187,1703,1344
臺中市大里區健民里,3656,1183,1364,1109
臺北市中山區大直里,5304,1182,1945,2177
新北市新莊區光華里,4161,1182,1740,1239
臺中市大甲區文武里,3797,1181,1410,1206
彰化縣伸港鄉新港村,3667,1180,1273,1214
臺北市信義區三張里,5333,1179,1823,2331
新竹縣竹北市聯興里,3299,1179,1009,1111
臺中市北屯區平和里,3715,1176,1268,1271
臺北市北投區中央里,4947,1175,2183,1589
桃園市桃園區龍祥里,3552,1175,1070,1307
彰化縣員林市惠來里,4050,1175,1540,1335
桃園市桃園區福林里,4353,1174,1681,1498
新竹縣湖口鄉中正村,3013,1174,786,1053
澎湖縣馬公市西衛里,3410,1174,1001,1235
臺北市內湖區湖元里,4019,1173,1484,1362
臺中市大里區西榮里,3810,1172,1487,1151
新北市三峽區永舘里,4490,1170,1919,1401
臺中市北區長青里,4174,1170,1560,1444
臺北市內湖區西湖里,4532,1169,1790,1573
新北市新店區中山里,4963,1169,1301,2493
桃園市八德區大福里,3880,1169,1342,1369
臺北市松山區新聚里,4789,1168,1877,1744
臺北市信義區中行里,4743,1166,1925,1652
新竹縣新豐鄉山崎村,3163,1166,823,1174
彰化縣彰化市新興里,3836,1163,1429,1244
臺北市內湖區瑞陽里,4989,1162,1500,2327
臺中市龍井區龍津里,3542,1162,1400,980
臺中市西屯區逢福里,3853,1161,1294,1398
臺中市南屯區永定里,3897,1160,1614,1123
桃園市平鎮區湧安里,3218,1159,967,1092
宜蘭縣員山鄉員山村,4163,1159,1775,1229
桃園市八德區福興里,3232,1158,1075,999
新竹市北區金雅里,2901,1158,987,756
新北市板橋區深丘里,5151,1157,2019,1975
桃園市蘆竹區新莊里,3758,1157,1640,961
新北市中和區德行里,4289,1156,1489,1644
桃園市平鎮區廣興里,4052,1156,1496,1400
新北市林口區中湖里,3308,1155,1180,973
臺中市龍井區忠和里,3526,1155,1416,955
臺北市松山區慈祐里,4521,1154,1850,1517
新竹市北區曲溪里,3599,1154,1244,1201
新北市泰山區山腳里,4072,1152,1630,1290
臺中市潭子區家福里,3467,1152,1242,1073
