村里,總統票總數,柯文哲,賴清德,侯友宜,立委票總數,小民參政歐巴桑聯盟,台灣綠黨,臺灣雙語無法黨,台灣基進,中華統一促進黨,民主進步黨,制度救世島,時代力量,中國國民黨,司法改革黨,新黨,台灣民眾黨,台灣維新,親民黨,人民最大黨,台灣團結聯盟
臺中市龍井區竹坑里,2275,798,758,719,2231,26,13,7,14,3,670,5,60,780,6,9,612,0,7,4,15
臺中市太平區新興里,4641,1785,1624,1232,4595,61,35,22,35,3,1391,5,196,1322,22,9,1453,4,23,3,11
臺中市太平區新高里,6568,2477,2178,1913,6517,68,59,26,48,2,1932,1,216,2027,20,14,2048,5,30,6,15
臺中市太平區新城里,4025,1433,1372,1220,3988,51,25,13,13,2,1249,5,117,1282,13,8,1176,0,25,5,4
高雄市左營區永清里,487,203,112,172,484,8,3,4,6,1,111,0,11,178,0,0,159,0,2,0,1
高雄市左營區自助里,1339,492,461,386,1336,18,10,3,11,0,395,0,41,438,1,3,411,0,1,0,4
宜蘭縣頭城鎮龜山里,431,161,110,160,411,7,1,2,4,1,86,3,9,164,0,2,128,1,1,0,2
新竹縣竹北市斗崙里,5599,2225,1683,1691,5578,75,55,20,34,3,1320,1,345,1742,16,14,1911,2,31,1,8
新竹縣竹北市鹿場里,8676,3284,2760,2632,8627,108,61,27,50,4,2215,3,501,2658,23,21,2909,6,25,2,14
新竹縣竹北市東平里,9788,3792,3397,2599,9743,151,87,44,60,2,2652,2,709,2520,17,21,3427,3,38,2,8
新竹縣竹北市中興里,6789,2465,2257,2067,6768,70,60,17,41,0,1799,4,416,2066,18,19,2214,6,30,1,7
新竹縣竹北市隘口里,2793,1116,890,787,2780,45,24,9,17,0,655,2,204,786,7,7,1010,0,8,2,4
新竹縣竹北市竹北里,6417,2735,1731,1951,6362,83,58,24,23,7,1413,2,317,2034,11,11,2336,2,28,5,8
新竹縣竹北市竹義里,4051,1478,1172,1401,4004,42,30,10,16,2,1013,3,175,1480,11,14,1177,6,15,3,7
新竹縣竹北市泰和里,4471,1668,1197,1606,4430,55,32,13,22,3,1019,3,213,1711,10,13,1298,2,22,3,11
新竹縣竹北市新社里,5247,1988,1517,1742,5217,47,45,13,11,4,1311,4,249,1844,16,12,1626,6,15,3,11
新竹縣竹北市聯興里,3299,1179,1009,1111,3255,27,28,9,12,5,879,3,133,1203,7,9,906,4,21,4,5
新竹縣竹北市大眉里,1281,448,410,423,1271,5,12,5,4,1,349,1,58,458,4,3,359,2,4,2,4
新竹縣竹北市十興里,5330,1995,1780,1555,5300,65,28,20,39,1,1464,1,290,1564,13,9,1775,3,18,1,9
新竹縣竹北市新國里,4722,1931,1438,1353,4677,44,52,18,13,6,1214,4,238,1417,12,13,1613,2,17,0,14
新竹縣竹北市新庄里,838,308,270,260,827,9,11,2,3,2,245,2,29,279,3,1,232,1,3,2,3
新竹縣竹北市北崙里,2960,1122,793,1045,2937,33,21,13,13,3,656,4,135,1074,10,7,952,0,7,4,5
新竹縣竹北市新崙里,5041,2040,1458,1543,4982,59,44,23,27,3,1213,3,268,1595,9,13,1685,4,20,5,11
新竹縣竹北市東興里,6220,2698,1978,1544,6168,89,41,20,38,5,1590,2,391,1583,17,10,2342,3,24,5,8
新竹縣竹北市北興里,5164,2380,1622,1162,5114,65,40,14,30,2,1304,5,338,1192,16,12,2062,4,25,1,4
新竹縣竹北市興安里,2851,1096,770,985,2834,34,22,13,20,2,614,2,154,1021,4,9,917,2,12,2,6
新竹縣竹北市文化里,2572,946,720,906,2554,25,18,5,14,4,616,2,142,906,7,6,796,0,9,0,4
新竹縣竹北市中崙里,5328,2097,1561,1670,5296,70,58,20,26,4,1255,2,321,1691,8,15,1803,2,11,2,8
新竹縣竹東鎮二重里,8628,3452,2184,2992,8560,80,73,35,45,10,1788,12,455,3076,17,26,2883,4,35,6,15
新竹縣新埔鎮田新里,2727,1119,679,929,2693,22,26,6,11,0,568,7,106,989,10,10,901,4,23,1,9
新竹縣湖口鄉中勢村,2616,984,662,970,2576,28,13,2,10,11,574,3,73,1029,12,5,791,1,13,5,6
新竹縣湖口鄉波羅村,1520,542,444,534,1490,13,15,3,4,2,387,6,30,564,5,6,436,2,6,1,10
新竹縣湖口鄉信義村,2995,1203,722,1070,2963,39,27,9,9,0,637,2,85,1170,15,2,926,6,20,8,8
新竹縣湖口鄉中正村,3013,1174,786,1053,2980,30,28,3,13,5,685,2,103,1119,13,8,944,2,19,1,5
新竹縣湖口鄉東興村,3402,1328,900,1174,3352,32,30,9,10,10,793,8,89,1296,10,6,1024,4,17,4,10
新竹縣新豐鄉瑞興村,1167,395,379,393,1148,6,15,7,3,5,336,5,25,411,7,5,304,1,10,1,7
新竹縣新豐鄉重興村,3591,1370,885,1336,3538,27,41,10,17,7,772,4,95,1406,23,8,1101,1,15,2,9
新竹縣新豐鄉員山村,2057,806,513,738,2034,17,15,2,13,2,427,2,80,802,12,7,629,2,15,2,7
新竹縣新豐鄉松林村,3206,1219,799,1188,3167,30,28,4,14,6,673,3,103,1240,18,14,990,4,24,6,10
新竹縣新豐鄉松柏村,4754,2143,1161,1450,4710,43,32,11,21,9,1005,1,184,1574,16,9,1768,6,23,2,6
新竹縣芎林鄉上山村,3845,1428,1047,1370,3806,40,27,12,15,7,890,2,163,1393,9,14,1195,5,22,4,8
新竹縣寶山鄉雙溪村,1905,749,524,632,1876,26,13,8,5,0,439,4,87,666,5,8,602,1,7,2,3
苗栗縣竹南鎮新南里,3793,1407,1194,1192,3770,39,22,9,11,3,1000,2,262,1210,8,13,1164,2,13,2,10
苗栗縣竹南鎮山佳里,3458,1308,941,1209,3400,21,9,10,12,1,768,1,276,1250,6,8,998,2,26,1,11
苗栗縣竹南鎮中英里,1063,380,336,347,1035,3,3,3,1,1,300,1,62,366,6,2,278,2,3,0,4
苗栗縣竹南鎮開元里,935,376,294,265,929,13,7,1,5,0,251,2,72,288,3,2,270,0,11,2,2
苗栗縣竹南鎮海口里,3054,1116,964,974,3012,22,20,5,10,4,789,4,206,972,26,6,914,1,19,8,6
苗栗縣竹南鎮大埔里,3816,1518,1202,1096,3743,43,38,15,19,4,954,5,190,1152,13,12,1249,1,23,7,18
苗栗縣竹南鎮崎頂里,2666,929,868,869,2611,15,17,10,10,2,766,5,129,903,8,6,697,2,27,4,10
苗栗縣竹南鎮佳興里,2351,798,766,787,2308,15,17,5,9,3,638,4,164,788,8,6,629,1,9,1,11
苗栗縣竹南鎮龍山里,1772,652,558,562,1731,8,10,4,2,3,474,4,113,589,6,5,491,1,10,2,9
苗栗縣頭份市土牛里,749,278,198,273,741,10,4,2,4,1,175,0,49,278,2,2,206,1,5,0,2
苗栗縣頭份市東庄里,3493,1421,778,1294,3446,19,15,8,11,6,661,1,176,1357,7,11,1144,1,14,6,9
苗栗縣頭份市後庄里,3617,1425,969,1223,3575,26,26,14,15,4,786,2,207,1284,5,10,1165,2,17,2,10
苗栗縣頭份市蟠桃里,2395,941,567,887,2353,19,25,8,8,3,471,2,138,889,13,7,741,3,16,1,9
苗栗縣頭份市上興里,1455,560,339,556,1426,12,10,5,10,7,280,3,55,602,5,5,412,2,11,1,6
苗栗縣頭份市合興里,1834,687,480,667,1803,11,11,6,6,2,397,0,102,697,7,4,547,3,8,0,2
苗栗縣頭份市文化里,2718,1037,697,984,2688,25,18,7,6,3,592,0,129,1001,7,8,872,3,11,2,4
苗栗縣公館鄉北河村,207,107,50,50,202,4,3,0,0,1,42,0,4,109,0,0,35,1,2,1,0
彰化縣和美鎮面前里,1584,553,538,493,1550,11,13,9,3,2,487,4,33,524,7,5,426,5,10,1,10
彰化縣線西鄉寓埔村,1622,558,516,548,1590,15,7,16,1,1,464,8,32,590,6,1,426,2,8,1,12
彰化縣線西鄉溝內村,807,286,248,273,792,13,5,4,5,3,224,0,18,291,1,0,216,1,8,0,3
彰化縣伸港鄉定興村,1796,600,599,597,1746,14,15,4,6,3,532,6,27,639,7,1,476,3,6,1,6
彰化縣伸港鄉什股村,1762,661,483,618,1717,15,10,10,10,3,393,5,46,680,7,2,507,2,13,7,7
彰化縣伸港鄉大同村,2152,807,722,623,2104,29,12,11,19,6,650,4,64,678,8,3,602,0,6,3,9
彰化縣伸港鄉汴頭村,1599,544,514,541,1547,10,7,6,11,2,449,4,31,591,5,11,412,1,3,2,2
彰化縣秀水鄉義興村,1030,358,352,320,1016,3,2,6,9,0,317,3,21,350,6,4,287,1,4,0,3
彰化縣大村鄉過溝村,2387,823,752,812,2362,28,14,12,11,2,651,3,77,871,3,2,663,1,15,1,8
彰化縣埤頭鄉平原村,1550,541,498,511,1509,10,14,11,6,0,422,4,27,541,9,1,449,0,4,4,7
雲林縣虎尾鎮北溪里,594,219,217,158,575,8,7,1,1,2,182,2,10,179,0,0,178,1,0,0,4
雲林縣麥寮鄉麥津村,2629,906,845,878,2588,25,13,7,12,9,749,3,49,984,4,7,697,3,15,5,6
雲林縣麥寮鄉麥豐村,4768,1695,1586,1487,4696,36,41,9,18,10,1372,7,106,1733,14,9,1287,5,26,8,15
雲林縣麥寮鄉海豐村,1298,464,429,405,1247,9,6,4,4,3,378,3,24,459,4,2,333,1,7,3,7
雲林縣麥寮鄉中興村,972,339,337,296,948,11,8,4,1,6,284,2,27,317,4,2,269,0,8,1,4
