city-town,zone,code,areas,name,party
新竹縣湖口鄉,新竹縣湖口鄉第03選區,10004050-03,長安村/中勢村/長嶺村/湖口村/中正村,,
新竹縣湖口鄉,新竹縣湖口鄉第04選區,10004050-04,孝勢村/仁勢村/愛勢村/東興村,,
新竹縣新豐鄉,新竹縣新豐鄉第01選區,10004060-01,福興村/青埔村/瑞興村/中崙村,,
新竹縣新豐鄉,新竹縣新豐鄉第02選區,10004060-02,後湖村/新豐村/埔和村/坡頭村,,
新竹縣新豐鄉,新竹縣新豐鄉第03選區,10004060-03,忠孝村/員山村/山崎村,,
新竹縣新豐鄉,新竹縣新豐鄉第04選區,10004060-04,重興村/松林村/上坑村/鳳坑村/松柏村/崎頂村,,
新竹縣芎林鄉,新竹縣芎林鄉第01選區,10004070-01,五龍村/華龍村/秀湖村,,
新竹縣芎林鄉,新竹縣芎林鄉第02選區,10004070-02,永興村/石潭村,,
新竹縣芎林鄉,新竹縣芎林鄉第03選區,10004070-03,中坑村/水坑村/新鳳村,,
新竹縣芎林鄉,新竹縣芎林鄉第04選區,10004070-04,文林村/芎林村/上山村/下山村,,
新竹縣橫山鄉,新竹縣橫山鄉第01選區,10004080-01,橫山村/田寮村/南昌村/豐鄉村,,
新竹縣橫山鄉,新竹縣橫山鄉第02選區,10004080-02,新興村/豐田村/大肚村,,
新竹縣橫山鄉,新竹縣橫山鄉第03選區,10004080-03,內灣村/力行村,,
新竹縣橫山鄉,新竹縣橫山鄉第04選區,10004080-04,福興村/沙坑村,,
新竹縣北埔鄉,新竹縣北埔鄉第01選區,10004090-01,南埔村/大林村/南興村,,
新竹縣北埔鄉,新竹縣北埔鄉第02選區,10004090-02,北埔村/埔尾村/水磜村,,
新竹縣北埔鄉,新竹縣北埔鄉第03選區,10004090-03,大湖村/南坑村/外坪村,,
新竹縣寶山鄉,新竹縣寶山鄉第01選區,10004100-01,雙新村/雙溪村/大崎村,,
新竹縣寶山鄉,新竹縣寶山鄉第02選區,10004100-02,三峰村/新城村,,
