zone,city,area,village,village_code
10007100-03,彰化縣,員林市,光明里,10007100007
10004100-03,新竹縣,寶山鄉,深井村,10004100005
10004100-03,新竹縣,寶山鄉,寶斗村,10004100006
10007100-02,彰化縣,員林市,東和里,10007100001
10007140-02,彰化縣,埔鹽鄉,瓦[磘]村,10007140010
10007100-02,彰化縣,員林市,民生里,10007100002
10007140-03,彰化縣,埔鹽鄉,太平村,10007140019
10007100-03,彰化縣,員林市,中正里,10007100003
10007140-02,彰化縣,埔鹽鄉,永平村,10007140015
10007140-02,彰化縣,埔鹽鄉,永樂村,10007140016
10007100-03,彰化縣,員林市,中山里,10007100008
10007140-03,彰化縣,埔鹽鄉,石埤村,10007140017
10007100-02,彰化縣,員林市,黎明里,10007100009
10007140-03,彰化縣,埔鹽鄉,天盛村,10007140018
10007100-01,彰化縣,員林市,大峯里,10007100030
10007100-01,彰化縣,員林市,鎮興里,10007100031
10007100-01,彰化縣,員林市,浮圳里,10007100032
10007140-01,彰化縣,埔鹽鄉,埔鹽村,10007140001
10007100-03,彰化縣,員林市,三愛里,10007100037
10007140-01,彰化縣,埔鹽鄉,埔南村,10007140002
10007100-03,彰化縣,員林市,三信里,10007100038
10007140-01,彰化縣,埔鹽鄉,廍子村,10007140003
10007100-03,彰化縣,員林市,三多里,10007100039
10007100-01,彰化縣,員林市,西東里,10007100033
10007100-01,彰化縣,員林市,南東里,10007100034
10007100-01,彰化縣,員林市,中東里,10007100035
10007140-01,彰化縣,埔鹽鄉,崑崙村,10007140008
10007100-01,彰化縣,員林市,東北里,10007100036
10007140-01,彰化縣,埔鹽鄉,角樹村,10007140009
10008040-01,南投縣,竹山鎮,竹山里,10008040001
10007140-01,彰化縣,埔鹽鄉,出水村,10007140004
10007140-01,彰化縣,埔鹽鄉,南港村,10007140005
10007140-01,彰化縣,埔鹽鄉,打廉村,10007140006
10013130-04,屏東縣,內埔鄉,大新村,10013130020
10007140-01,彰化縣,埔鹽鄉,豐澤村,10007140007
10013130-04,屏東縣,內埔鄉,黎明村,10013130021
10008040-01,南投縣,竹山鎮,下坪里,10008040006
10013130-04,屏東縣,內埔鄉,隘寮村,10013130022
10008040-01,南投縣,竹山鎮,桂林里,10008040007
10013130-04,屏東縣,內埔鄉,水門村,10013130023
10008040-01,南投縣,竹山鎮,中和里,10008040008
10008040-01,南投縣,竹山鎮,中崎里,10008040009
10008040-01,南投縣,竹山鎮,中正里,10008040002
10008040-01,南投縣,竹山鎮,中山里,10008040003
10008040-01,南投縣,竹山鎮,雲林里,10008040004
10008040-03,南投縣,竹山鎮,硘[磘]里,10008040005
10007100-02,彰化縣,員林市,中央里,10007100020
10007100-02,彰化縣,員林市,溝皂里,10007100021
10007100-01,彰化縣,員林市,振興里,10007100026
10007100-01,彰化縣,員林市,林厝里,10007100027
10007100-01,彰化縣,員林市,出水里,10007100028
10007100-01,彰化縣,員林市,湖水里,10007100029
10007100-02,彰化縣,員林市,大饒里,10007100022
10007100-02,彰化縣,員林市,大明里,10007100023
10007100-02,彰化縣,員林市,萬年里,10007100024
10007100-01,彰化縣,員林市,崙雅里,10007100025
10008080-01,南投縣,中寮鄉,崁頂村,10008080002
10013130-02,屏東縣,內埔鄉,富田村,10013130010
10008080-01,南投縣,中寮鄉,八仙村,10008080003
10013130-02,屏東縣,內埔鄉,竹圍村,10013130011
10008080-01,南投縣,中寮鄉,和興村,10008080004
10013130-03,屏東縣,內埔鄉,東勢村,10013130012
10008080-01,南投縣,中寮鄉,福盛村,10008080005
10008080-01,南投縣,中寮鄉,廣興村,10008080001
10013130-04,屏東縣,內埔鄉,龍泉村,10013130017
10013130-04,屏東縣,內埔鄉,龍潭村,10013130018
10013130-04,屏東縣,內埔鄉,建興村,10013130019
10013130-03,屏東縣,內埔鄉,東片村,10013130013
10013130-03,屏東縣,內埔鄉,上樹村,10013130014
10013130-04,屏東縣,內埔鄉,老埤村,10013130015
10013130-04,屏東縣,內埔鄉,中林村,10013130016
10007140-03,彰化縣,埔鹽鄉,南新村,10007140022
10007140-03,彰化縣,埔鹽鄉,新水村,10007140020
10007140-03,彰化縣,埔鹽鄉,三省村,10007140021
10008040-03,南投縣,竹山鎮,田子里,10008040020
10008040-03,南投縣,竹山鎮,福興里,10008040021
10008040-03,南投縣,竹山鎮,鯉魚里,10008040022
10008040-03,南投縣,竹山鎮,瑞竹里,10008040023
10008110-03,南投縣,水里鄉,郡坑村,10008110013
10008110-03,南投縣,水里鄉,上安村,10008110014
10008110-02,南投縣,水里鄉,民和村,10008110015
10008040-01,南投縣,竹山鎮,竹圍里,10008040028
10008110-04,南投縣,水里鄉,永興村,10008110016
10016040-03,澎湖縣,西嶼鄉,內垵村,10016040010
10016040-03,澎湖縣,西嶼鄉,外垵村,10016040011
10008110-01,南投縣,水里鄉,車埕村,10008110010
10008110-01,南投縣,水里鄉,新興村,10008110011
10008040-03,南投縣,竹山鎮,坪頂里,10008040024
10008110-03,南投縣,水里鄉,新山村,10008110012
10008040-03,南投縣,竹山鎮,桶頭里,10008040025
10008040-01,南投縣,竹山鎮,秀林里,10008040026
10008040-02,南投縣,竹山鎮,延祥里,10008040027
10008110-04,南投縣,水里鄉,玉峰村,10008110017
10008080-04,南投縣,中寮鄉,永芳村,10008080017
10008110-04,南投縣,水里鄉,興隆村,10008110018
10008080-04,南投縣,中寮鄉,爽文村,10008080018
10008110-02,南投縣,水里鄉,南光村,10008110019
10008040-03,南投縣,竹山鎮,德興里,10008040010
10008040-02,南投縣,竹山鎮,延平里,10008040011
10008040-02,南投縣,竹山鎮,延正里,10008040012
10016040-01,澎湖縣,西嶼鄉,橫礁村,10016040001
10016040-01,澎湖縣,西嶼鄉,合界村,10016040002
10016040-01,澎湖縣,西嶼鄉,小門村,10016040003
10008110-01,南投縣,水里鄉,農富村,10008110002
10016040-01,澎湖縣,西嶼鄉,竹灣村,10016040004
10008110-01,南投縣,水里鄉,新城村,10008110003
10008110-01,南投縣,水里鄉,中央村,10008110004
10008040-02,南投縣,竹山鎮,中央里,10008040017
10008110-01,南投縣,水里鄉,城中村,10008110005
10008040-02,南投縣,竹山鎮,富州里,10008040018
10008040-01,南投縣,竹山鎮,大鞍里,10008040019
10016040-02,澎湖縣,西嶼鄉,赤馬村,10016040009
10008040-02,南投縣,竹山鎮,延山里,10008040013
10008110-01,南投縣,水里鄉,水里村,10008110001
10008040-02,南投縣,竹山鎮,延和里,10008040014
10008040-02,南投縣,竹山鎮,山崇里,10008040015
10008040-02,南投縣,竹山鎮,社寮里,10008040016
10016040-02,澎湖縣,西嶼鄉,大池村,10016040005
10016040-02,澎湖縣,西嶼鄉,二崁村,10016040006
10016040-02,澎湖縣,西嶼鄉,池東村,10016040007
10008110-02,南投縣,水里鄉,北埔村,10008110006
10008080-02,南投縣,中寮鄉,永平村,10008080006
10016040-02,澎湖縣,西嶼鄉,池西村,10016040008
10008110-02,南投縣,水里鄉,鉅工村,10008110007
10008080-01,南投縣,中寮鄉,復興村,10008080007
10008110-02,南投縣,水里鄉,永豐村,10008110008
10008080-02,南投縣,中寮鄉,中寮村,10008080008
10008110-02,南投縣,水里鄉,頂崁村,10008110009
10008080-02,南投縣,中寮鄉,廣福村,10008080009
10008080-03,南投縣,中寮鄉,龍安村,10008080013
10008080-04,南投縣,中寮鄉,龍岩村,10008080014
10008080-04,南投縣,中寮鄉,永和村,10008080015
10008080-03,南投縣,中寮鄉,內城村,10008080016
10008080-02,南投縣,中寮鄉,永福村,10008080010
10008080-02,南投縣,中寮鄉,義和村,10008080011
10008080-03,南投縣,中寮鄉,清水村,10008080012
10013130-01,屏東縣,內埔鄉,內埔村,10013130001
10013130-01,屏東縣,內埔鄉,和興村,10013130006
10013130-01,屏東縣,內埔鄉,東寧村,10013130007
10013130-02,屏東縣,內埔鄉,豐田村,10013130008
10013130-02,屏東縣,內埔鄉,振豐村,10013130009
10013130-01,屏東縣,內埔鄉,內田村,10013130002
10013130-01,屏東縣,內埔鄉,興南村,10013130003
10013130-01,屏東縣,內埔鄉,義亭村,10013130004
10013130-01,屏東縣,內埔鄉,美和村,10013130005
10013260-02,屏東縣,三地門鄉,青葉村,10013260010
10009100-04,雲林縣,林內鄉,重興村,10009100010
10013260-01,屏東縣,三地門鄉,大社村,10013260004
10013260-02,屏東縣,三地門鄉,賽嘉村,10013260005
10013260-02,屏東縣,三地門鄉,口社村,10013260006
10013260-02,屏東縣,三地門鄉,馬兒村,10013260007
10013260-01,屏東縣,三地門鄉,三地村,10013260001
10013260-01,屏東縣,三地門鄉,達來村,10013260002
10013260-01,屏東縣,三地門鄉,德文村,10013260003
10013260-02,屏東縣,三地門鄉,安坡村,10013260008
10013260-02,屏東縣,三地門鄉,青山村,10013260009
10009100-01,雲林縣,林內鄉,林中村,10009100002
10015090-02,花蓮縣,瑞穗鄉,富源村,10015090009
10009100-02,雲林縣,林內鄉,林北村,10009100003
10014100-01,臺東縣,大武鄉,大竹村,10014100001
10009100-02,雲林縣,林內鄉,坪頂村,10009100004
10014100-01,臺東縣,大武鄉,大鳥村,10014100002
10009100-03,雲林縣,林內鄉,林茂村,10009100005
10014100-01,臺東縣,大武鄉,大武村,10014100003
10009100-01,雲林縣,林內鄉,林南村,10009100001
10009100-03,雲林縣,林內鄉,九芎村,10009100006
10014100-01,臺東縣,大武鄉,尚武村,10014100004
10009100-03,雲林縣,林內鄉,湖本村,10009100007
10014100-01,臺東縣,大武鄉,南興村,10014100005
10009100-04,雲林縣,林內鄉,烏塗村,10009100008
10015090-02,花蓮縣,瑞穗鄉,富民村,10015090010
10009100-04,雲林縣,林內鄉,烏麻村,10009100009
10015090-02,花蓮縣,瑞穗鄉,富興村,10015090011
10015090-01,花蓮縣,瑞穗鄉,瑞北村,10015090005
10015090-01,花蓮縣,瑞穗鄉,舞鶴村,10015090006
10015090-01,花蓮縣,瑞穗鄉,鶴岡村,10015090007
10015090-01,花蓮縣,瑞穗鄉,奇美村,10015090008
10015090-01,花蓮縣,瑞穗鄉,瑞穗村,10015090001
10015090-01,花蓮縣,瑞穗鄉,瑞美村,10015090002
10015090-01,花蓮縣,瑞穗鄉,瑞良村,10015090003
10015090-01,花蓮縣,瑞穗鄉,瑞祥村,10015090004
10014050-02,臺東縣,鹿野鄉,瑞豐村,10014050002
10014050-02,臺東縣,鹿野鄉,瑞源村,10014050003
10014050-01,臺東縣,鹿野鄉,永安村,10014050004
10014050-02,臺東縣,鹿野鄉,瑞隆村,10014050005
10010120-01,嘉義縣,水上鄉,水頭村,10010120002
10010120-02,嘉義縣,水上鄉,大堀村,10010120003
10014050-02,臺東縣,鹿野鄉,瑞和村,10014050001
10010120-02,嘉義縣,水上鄉,大崙村,10010120004
10010120-02,嘉義縣,水上鄉,塗溝村,10010120005
10014050-01,臺東縣,鹿野鄉,鹿野村,10014050006
10010120-01,嘉義縣,水上鄉,水上村,10010120001
10014050-01,臺東縣,鹿野鄉,龍田村,10014050007
10010120-01,嘉義縣,水上鄉,粗溪村,10010120006
10010120-01,嘉義縣,水上鄉,下寮村,10010120007
10010120-01,嘉義縣,水上鄉,三和村,10010120008
10010120-01,嘉義縣,水上鄉,回歸村,10010120009
10010120-03,嘉義縣,水上鄉,國姓村,10010120024
10010120-03,嘉義縣,水上鄉,內溪村,10010120025
10010120-03,嘉義縣,水上鄉,義興村,10010120026
10010120-03,嘉義縣,水上鄉,忠和村,10010120020
10010120-03,嘉義縣,水上鄉,中庄村,10010120021
10010120-03,嘉義縣,水上鄉,南鄉村,10010120022
10010120-03,嘉義縣,水上鄉,三界村,10010120023
10002080-03,宜蘭縣,冬山鄉,武淵村,10002080001
10002080-01,宜蘭縣,冬山鄉,珍珠村,10002080002
10002060-01,宜蘭縣,壯圍鄉,美福村,10002060002
10002080-01,宜蘭縣,冬山鄉,補城村,10002080003
10002060-01,宜蘭縣,壯圍鄉,新南村,10002060003
10002060-02,宜蘭縣,壯圍鄉,東港村,10002060004
10009150-04,雲林縣,褒忠鄉,潮厝村,10009150009
10002060-02,宜蘭縣,壯圍鄉,復興村,10002060005
10002080-01,宜蘭縣,冬山鄉,南興村,10002080008
10002080-02,宜蘭縣,冬山鄉,冬山村,10002080009
10002060-01,宜蘭縣,壯圍鄉,吉祥村,10002060001
10002080-01,宜蘭縣,冬山鄉,三奇村,10002080004
10002080-01,宜蘭縣,冬山鄉,大興村,10002080005
10002080-01,宜蘭縣,冬山鄉,東城村,10002080006
10002060-02,宜蘭縣,壯圍鄉,過嶺村,10002060006
10002080-01,宜蘭縣,冬山鄉,香和村,10002080007
10002060-02,宜蘭縣,壯圍鄉,永鎮村,10002060007
10002060-03,宜蘭縣,壯圍鄉,忠孝村,10002060008
10002060-03,宜蘭縣,壯圍鄉,古亭村,10002060009
10010120-02,嘉義縣,水上鄉,龍德村,10010120013
10010120-02,嘉義縣,水上鄉,溪洲村,10010120014
10010120-03,嘉義縣,水上鄉,柳林村,10010120015
10010120-03,嘉義縣,水上鄉,柳鄉村,10010120016
10010120-02,嘉義縣,水上鄉,三鎮村,10010120010
10010120-02,嘉義縣,水上鄉,靖和村,10010120011
10010120-02,嘉義縣,水上鄉,南和村,10010120012
10010120-03,嘉義縣,水上鄉,柳新村,10010120017
10009190-02,雲林縣,口湖鄉,崙中村,10009190009
10010120-03,嘉義縣,水上鄉,寬士村,10010120018
10010120-03,嘉義縣,水上鄉,民生村,10010120019
10009190-01,雲林縣,口湖鄉,埔南村,10009190005
10009190-01,雲林縣,口湖鄉,謝厝村,10009190006
10009190-01,雲林縣,口湖鄉,蚵寮村,10009190007
10009190-02,雲林縣,口湖鄉,下崙村,10009190008
10009190-03,雲林縣,口湖鄉,港東村,10009190012
10009190-03,雲林縣,口湖鄉,港西村,10009190013
10009190-03,雲林縣,口湖鄉,台子村,10009190014
10009150-02,雲林縣,褒忠鄉,馬鳴村,10009150005
10009190-03,雲林縣,口湖鄉,成龍村,10009190015
10009150-03,雲林縣,褒忠鄉,有才村,10009150006
10009150-03,雲林縣,褒忠鄉,田洋村,10009150007
10009150-04,雲林縣,褒忠鄉,龍岩村,10009150008
10009190-02,雲林縣,口湖鄉,崙東村,10009190010
10009150-01,雲林縣,褒忠鄉,中民村,10009150001
10009190-02,雲林縣,口湖鄉,青蚶村,10009190011
10009150-01,雲林縣,褒忠鄉,埔姜村,10009150002
10009150-02,雲林縣,褒忠鄉,中勝村,10009150003
10009150-02,雲林縣,褒忠鄉,新湖村,10009150004
10002080-04,宜蘭縣,冬山鄉,廣安村,10002080022
10002080-04,宜蘭縣,冬山鄉,柯林村,10002080023
10002080-04,宜蘭縣,冬山鄉,大進村,10002080024
10002080-04,宜蘭縣,冬山鄉,得安村,10002080020
10002080-04,宜蘭縣,冬山鄉,廣興村,10002080021
10009190-01,雲林縣,口湖鄉,湖東村,10009190001
10009190-01,雲林縣,口湖鄉,口湖村,10009190002
10009190-01,雲林縣,口湖鄉,頂湖村,10009190003
10009190-01,雲林縣,口湖鄉,埔北村,10009190004
10002080-02,宜蘭縣,冬山鄉,太和村,10002080011
10002080-02,宜蘭縣,冬山鄉,八寶村,10002080012
10002120-01,宜蘭縣,南澳鄉,南澳村,10002120001
10002080-02,宜蘭縣,冬山鄉,丸山村,10002080013
10002060-04,宜蘭縣,壯圍鄉,大福村,10002060013
10002120-02,宜蘭縣,南澳鄉,碧候村,10002120002
10002080-02,宜蘭縣,冬山鄉,中山村,10002080014
10002060-01,宜蘭縣,壯圍鄉,古結村,10002060014
10002080-01,宜蘭縣,冬山鄉,安平村,10002080010
10002060-04,宜蘭縣,壯圍鄉,功勞村,10002060010
10002120-04,宜蘭縣,南澳鄉,澳花村,10002120007
10002080-04,宜蘭縣,冬山鄉,鹿埔村,10002080019
10002060-04,宜蘭縣,壯圍鄉,美城村,10002060011
10002060-04,宜蘭縣,壯圍鄉,新社村,10002060012
10002120-01,宜蘭縣,南澳鄉,東岳村,10002120003
10002080-02,宜蘭縣,冬山鄉,順安村,10002080015
10002120-02,宜蘭縣,南澳鄉,金岳村,10002120004
10002080-02,宜蘭縣,冬山鄉,永美村,10002080016
10002120-03,宜蘭縣,南澳鄉,武塔村,10002120005
10002080-03,宜蘭縣,冬山鄉,群英村,10002080017
10002120-03,宜蘭縣,南澳鄉,金洋村,10002120006
10002080-03,宜蘭縣,冬山鄉,清溝村,10002080018
10009190-04,雲林縣,口湖鄉,湖口村,10009190016
