area,cand_no,cand_name,party,cand_sex,cand_birthday,cand_age,cand_bornplace,cand_edu,is_current,is_victor,ticket_num,prv_code,city_code,area_code,dept_code,li_code
苗栗縣大湖鄉,2,陳永福,無黨籍及未經政黨推薦,m,0410219,70,臺灣省,高中(職),N,N,2048,10,005,00,080,0000
苗栗縣大湖鄉,3,黃惠琴,無黨籍及未經政黨推薦,f,0470808,64,臺灣省,高中(職),N,Y,3861,10,005,00,080,0000
苗栗縣公館鄉,1,劉冠霆,無黨籍及未經政黨推薦,m,0460910,65,臺灣省,大學,N,N,7408,10,005,00,090,0000
苗栗縣公館鄉,2,何在鑫,無黨籍及未經政黨推薦,m,0511122,59,臺灣省,碩士,N,Y,9790,10,005,00,090,0000
苗栗縣銅鑼鄉,1,李瑞廷,中國國民黨,m,0450215,66,臺灣省,高中(職),N,N,4743,10,005,00,100,0000
苗栗縣銅鑼鄉,2,謝昌年,無黨籍及未經政黨推薦,m,0550102,56,臺灣省,大學,Y,Y,5178,10,005,00,100,0000
苗栗縣南庄鄉,1,羅春蓮,無黨籍及未經政黨推薦,f,0541230,56,桃園市,高中(職),Y,Y,4912,10,005,00,110,0000
苗栗縣頭屋鄉,1,湯于杰,無黨籍及未經政黨推薦,m,0700217,41,臺灣省,高中(職),N,N,3276,10,005,00,120,0000
苗栗縣頭屋鄉,2,徐鑫榮,無黨籍及未經政黨推薦,m,0480917,63,臺灣省,高中(職),Y,Y,3412,10,005,00,120,0000
苗栗縣三義鄉,1,呂明忠,無黨籍及未經政黨推薦,m,0481017,63,臺灣省,高中(職),Y,Y,7345,10,005,00,130,0000
苗栗縣西湖鄉,1,高阿賜,無黨籍及未經政黨推薦,m,0460317,65,臺灣省,專科,Y,Y,3901,10,005,00,140,0000
苗栗縣造橋鄉,1,徐連斌,中國國民黨,m,0500210,61,臺灣省,專科,N,Y,3974,10,005,00,150,0000
苗栗縣造橋鄉,2,古育誌,中國國民黨,m,0561214,54,臺灣省,大學,N,N,3167,10,005,00,150,0000
苗栗縣三灣鄉,1,李運光,無黨籍及未經政黨推薦,m,0440101,67,臺灣省,高中(職),N,Y,1590,10,005,00,160,0000
苗栗縣三灣鄉,2,陳光洋,無黨籍及未經政黨推薦,m,0470605,64,臺灣省,大學,N,N,1448,10,005,00,160,0000
苗栗縣三灣鄉,3,李聲生,無黨籍及未經政黨推薦,m,0510820,60,臺灣省,專科,N,N,1041,10,005,00,160,0000
苗栗縣獅潭鄉,1,謝燃廷,中國國民黨,f,0520413,59,臺灣省,高中(職),N,N,1296,10,005,00,170,0000
苗栗縣獅潭鄉,2,劉淑能,中國國民黨,f,0521031,59,臺灣省,大學,N,Y,1878,10,005,00,170,0000
苗栗縣泰安鄉,1,陳吉基,中國國民黨,m,0591104,51,臺灣省,碩士,N,Y,3569,10,005,00,180,0000
彰化縣彰化市,1,黄玉芬,中國國民黨,f,0711110,39,臺灣省,碩士,N,N,39755,10,007,00,010,0000
彰化縣彰化市,2,林強世,無黨籍及未經政黨推薦,m,0540102,57,臺南市,大學,N,N,383,10,007,00,010,0000
彰化縣彰化市,3,張東正,無黨籍及未經政黨推薦,m,0580513,53,臺灣省,碩士,N,N,15453,10,007,00,010,0000
彰化縣彰化市,4,林世賢,民主進步黨,m,0480601,63,臺灣省,專科,Y,Y,53605,10,007,00,010,0000
