地區,姓名,號次,得票數,得票率
臺北市士林區永福里,陳履安,1,72,9.11%
臺北市士林區永福里,李登輝,2,384,48.61%
臺北市士林區永福里,彭明敏,3,248,31.39%
臺北市士林區永福里,林洋港,4,86,10.89%
臺北市士林區公館里,陳履安,1,66,7.61%
臺北市士林區公館里,李登輝,2,484,55.82%
臺北市士林區公館里,彭明敏,3,249,28.72%
臺北市士林區公館里,林洋港,4,68,7.84%
臺北市士林區新安里,陳履安,1,95,7.83%
臺北市士林區新安里,李登輝,2,566,46.62%
臺北市士林區新安里,彭明敏,3,358,29.49%
臺北市士林區新安里,林洋港,4,195,16.06%
臺北市士林區陽明里,陳履安,1,198,10.77%
臺北市士林區陽明里,李登輝,2,737,40.08%
臺北市士林區陽明里,彭明敏,3,469,25.50%
臺北市士林區陽明里,林洋港,4,435,23.65%
臺北市士林區菁山里,陳履安,1,83,8.57%
臺北市士林區菁山里,李登輝,2,531,54.80%
臺北市士林區菁山里,彭明敏,3,267,27.55%
臺北市士林區菁山里,林洋港,4,88,9.08%
臺北市士林區平等里,陳履安,1,56,5.85%
臺北市士林區平等里,李登輝,2,432,45.14%
臺北市士林區平等里,彭明敏,3,381,39.81%
臺北市士林區平等里,林洋港,4,88,9.20%
臺北市士林區溪山里,陳履安,1,79,8.32%
臺北市士林區溪山里,李登輝,2,512,53.95%
臺北市士林區溪山里,彭明敏,3,282,29.72%
臺北市士林區溪山里,林洋港,4,76,8.01%
臺北市士林區翠山里,陳履安,1,494,13.06%
臺北市士林區翠山里,李登輝,2,1148,30.35%
臺北市士林區翠山里,彭明敏,3,654,17.29%
臺北市士林區翠山里,林洋港,4,1487,39.31%
臺北市中山區正守里,陳履安,1,300,13.25%
臺北市中山區正守里,李登輝,2,913,40.33%
臺北市中山區正守里,彭明敏,3,688,30.39%
臺北市中山區正守里,林洋港,4,363,16.03%
臺北市中山區正義里,陳履安,1,278,12.36%
臺北市中山區正義里,李登輝,2,922,41.00%
臺北市中山區正義里,彭明敏,3,585,26.01%
臺北市中山區正義里,林洋港,4,464,20.63%
