行政區別,村里別,投開票所別,號次1,號次2,號次3,有效票數A（A＝1＋2＋…＋N）,無效票數B,投票數C（C＝A＋B）,已領未投票數D（D＝E－C）,發出票數E（E＝C＋D）,用餘票數F,選舉人數(原領票數)G（G＝E＋F）,投票率H（H＝C÷G）
三重區,正安里,0099,10,399,389,798,10,808,0,808,918,"1,726",46.81%
三重區,自強里,0100,15,313,420,748,1,749,0,749,816,"1,565",47.86%
三重區,文化里,0101,4,194,290,488,1,489,0,489,587,"1,076",45.45%
三重區,文化里,0102,5,216,242,463,1,464,0,464,517,981,47.30%
三重區,中央里,0103,9,317,368,694,10,704,0,704,880,"1,584",44.44%
三重區,雙園里,0104,1,191,146,338,2,340,0,340,497,837,40.62%
三重區,錦通里,0105,6,323,296,625,4,629,0,629,728,"1,357",46.35%
三重區,錦安里,0106,9,355,354,718,4,722,0,722,909,"1,631",44.27%
三重區,長安里,0107,2,170,206,378,1,379,0,379,559,938,40.41%
三重區,長安里,0108,4,229,212,445,2,447,0,447,548,995,44.92%
三重區,光華里,0109,6,326,350,682,6,688,0,688,1086,"1,774",38.78%
三重區,長生里,0110,6,108,192,306,0,306,0,306,479,785,38.98%
三重區,開元里,0111,9,295,315,619,3,622,0,622,722,"1,344",46.28%
三重區,大德里,0112,4,153,168,325,2,327,0,327,423,750,43.60%
三重區,長元里,0113,5,190,226,421,1,422,0,422,640,"1,062",39.74%
三重區,長元里,0114,5,258,215,478,4,482,0,482,641,1123,42.92%
三重區,長江里,0115,15,350,389,754,4,758,0,758,1050,"1,808",41.92%
三重區,長泰里,0116,6,180,265,451,7,458,0,458,627,1085,42.21%
三重區,長泰里,0117,5,164,197,366,1,367,0,367,526,893,41.10%
三重區,長福里,0118,9,279,320,608,2,610,0,610,755,"1,365",44.69%
三重區,介壽里,0119,8,226,223,457,5,462,0,462,561,1023,45.16%
三重區,萬壽里,0120,6,184,199,389,4,393,0,393,474,867,45.33%
三重區,萬壽里,0121,6,245,159,410,2,412,0,412,485,897,45.93%
三重區,錦江里,0122,7,204,228,439,6,445,0,445,597,"1,042",42.71%
三重區,錦江里,0123,2,179,212,393,0,393,0,393,629,"1,022",38.45%
三重區,龍濱里,0124,8,283,287,578,7,585,0,585,752,"1,337",43.75%
三重區,龍濱里,0125,4,329,318,651,4,655,0,655,846,"1,501",43.64%
三重區,龍門里,0126,5,309,297,611,3,614,0,614,1003,"1,617",37.97%
三重區,秀江里,0127,14,234,231,479,3,482,0,482,675,"1,157",41.66%
三重區,奕壽里,0128,5,283,361,649,1,650,0,650,892,"1,542",42.15%
三重區,三安里,0129,10,226,199,435,2,437,0,437,680,"1,117",39.12%
三重區,三安里,0130,9,240,271,520,3,523,0,523,698,1221,42.83%
三重區,福安里,0131,6,227,314,547,3,550,0,550,722,"1,272",43.24%
三重區,福安里,0132,11,267,307,585,1,586,0,586,765,"1,351",43.38%
三重區,信安里,0133,7,302,347,656,3,659,0,659,"1,057","1,716",38.40%
三重區,安慶里,0134,5,167,227,399,1,400,0,400,498,898,44.54%
三重區,安慶里,0135,4,177,230,411,1,412,0,412,528,940,43.83%
三重區,幸福里,0136,10,285,258,553,1,554,0,554,877,"1,431",38.71%
三重區,幸福里,0137,10,225,323,558,3,561,0,561,819,"1,380",40.65%
三重區,幸福里,0138,3,239,293,535,1,536,0,536,689,"1,225",43.76%
三重區,六合里,0139,6,350,369,725,0,725,0,725,826,"1,551",46.74%
三重區,六合里,0140,7,354,391,752,6,758,0,758,931,"1,689",44.88%
三重區,六福里,0141,3,224,333,560,4,564,0,564,898,"1,462",38.58%
三重區,六福里,0142,7,277,395,679,4,683,0,683,948,"1,631",41.88%
三重區,六福里,0143,4,275,372,651,6,657,0,657,950,"1,607",40.88%
三重區,順德里,0144,2,217,223,442,1,443,0,443,615,"1,058",41.87%
三重區,順德里,0145,5,175,192,372,5,377,0,377,505,882,42.74%
三重區,承德里,0146,6,329,368,703,6,709,0,709,839,"1,548",45.80%
三重區,瑞德里,0147,5,209,215,429,1,430,0,430,564,994,43.26%
三重區,瑞德里,0148,8,225,273,506,1,507,0,507,568,"1,075",47.16%
三重區,崇德里,0149,8,234,306,548,2,550,0,550,673,"1,223",44.97%
三重區,崇德里,0150,7,196,230,433,3,436,0,436,518,954,45.70%
三重區,崇德里,0151,2,242,299,543,4,547,0,547,750,1297,42.17%
三重區,厚德里,0152,4,329,345,678,5,683,0,683,862,1545,44.21%
三重區,厚德里,0153,6,296,371,673,3,676,0,676,837,1513,44.68%
三重區,維德里,0154,12,209,394,615,4,619,0,619,677,1296,47.76%
三重區,維德里,0155,3,229,284,516,1,517,0,517,668,1185,43.63%
三重區,尚德里,0156,7,336,367,710,5,715,0,715,887,1602,44.63%
三重區,尚德里,0157,2,231,216,449,1,450,0,450,629,1079,41.71%
三重區,培德里,0158,3,312,369,684,0,684,0,684,882,1566,43.68%
三重區,培德里,0159,9,289,389,687,3,690,0,690,947,"1,637",42.15%
三重區,立德里,0160,3,326,352,681,2,683,0,683,785,1468,46.53%
三重區,立德里,0161,8,272,392,672,3,675,0,675,811,1486,45.42%
三重區,永德里,0162,8,274,331,613,1,614,0,614,879,"1,493",41.13%
三重區,永德里,0163,3,187,327,517,5,522,0,522,695,"1,217",42.89%
三重區,永德里,0164,9,250,379,638,3,641,0,641,816,1457,43.99%
三重區,永煇里,0165,10,216,300,526,4,530,0,530,588,1118,47.41%
三重區,永煇里,0166,4,161,304,469,4,473,0,473,621,1094,43.24%
三重區,永發里,0167,9,318,424,751,2,753,0,753,962,"1,715",43.91%
三重區,永發里,0168,3,226,377,606,0,606,0,606,867,1473,41.14%
三重區,永發里,0169,10,300,495,805,3,808,0,808,957,"1,765",45.78%
三重區,永盛里,0170,5,239,293,537,2,539,0,539,821,1360,39.63%
三重區,永盛里,0171,5,268,336,609,4,613,0,613,821,"1,434",42.75%
三重區,永吉里,0172,10,269,261,540,0,540,0,540,769,"1,309",41.25%
三重區,永吉里,0173,5,204,266,475,3,478,0,478,714,"1,192",40.10%
三重區,永安里,0174,6,381,358,745,4,749,0,749,1089,"1,838",40.75%
三重區,永安里,0175,6,326,390,722,3,725,0,725,844,"1,569",46.21%
三重區,永豐里,0176,1,258,310,569,2,571,0,571,995,1566,36.46%
三重區,永豐里,0177,12,277,336,625,4,629,0,629,1022,1651,38.10%
三重區,永豐里,0178,6,279,368,653,1,654,0,654,1011,"1,665",39.28%
三重區,溪美里,0179,12,264,372,648,4,652,0,652,808,1460,44.66%
三重區,溪美里,0180,9,227,267,503,1,504,0,504,885,1389,36.29%
三重區,溪美里,0181,6,328,371,705,3,708,0,708,945,"1,653",42.83%
三重區,溪美里,0182,9,298,276,583,8,591,0,591,904,"1,495",39.53%
三重區,溪美里,0183,7,225,268,500,4,504,0,504,616,"1,120",45.00%
三重區,福隆里,0184,1,226,227,454,5,459,0,459,866,"1,325",34.64%
三重區,福隆里,0185,5,216,223,444,4,448,0,448,813,"1,261",35.53%
三重區,福隆里,0186,10,207,223,440,3,443,0,443,779,"1,222",36.25%
三重區,五常里,0187,4,209,255,468,2,470,0,470,634,"1,104",42.57%
三重區,五常里,0188,3,204,282,489,6,495,0,495,716,"1,211",40.88%
三重區,五常里,0189,7,220,238,465,6,471,0,471,792,"1,263",37.29%
三重區,仁忠里,0190,1,287,297,585,2,587,0,587,854,"1,441",40.74%
三重區,仁忠里,0191,7,228,288,523,2,525,0,525,763,"1,288",40.76%
三重區,福樂里,0192,5,256,353,614,7,621,0,621,906,"1,527",40.67%
三重區,福樂里,0193,8,286,349,643,5,648,0,648,983,"1,631",39.73%
三重區,五順里,0194,3,289,337,629,2,631,0,631,1023,1654,38.15%
三重區,五順里,0195,8,311,366,685,3,688,0,688,1071,1759,39.11%
